""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"VCAM1"	0	1.86352826165936	0.58	0.106	0	"0"	"VCAM1"
"HAVCR2"	0	1.83512952621623	0.548	0.111	0	"0"	"HAVCR2"
"TNFRSF9"	0	1.77131486939294	0.577	0.124	0	"0"	"TNFRSF9"
"LAG3"	0	1.65132360105007	0.674	0.244	0	"0"	"LAG3"
"CD27"	0	1.56504763346948	0.862	0.335	0	"0"	"CD27"
"GZMK"	0	1.48717090559634	0.95	0.429	0	"0"	"GZMK"
"LYST"	0	1.39092936237931	0.805	0.317	0	"0"	"LYST"
"CD74"	0	1.29802731378475	0.993	0.875	0	"0"	"CD74"
"DUSP4"	0	1.24876818637466	0.768	0.279	0	"0"	"DUSP4"
"RGS1"	0	1.16012453545078	0.872	0.423	0	"0"	"RGS1"
"HLA-DRB1"	0	1.09508868481369	0.924	0.606	0	"0"	"HLA-DRB1"
"CST7"	8.2016924063711e-305	0.839902683418739	0.975	0.86	3.21055249247397e-300	"0"	"CST7"
"HLA-A"	1.99168188378583e-304	0.462109510923199	1	0.998	7.79643873407964e-300	"0"	"HLA-A"
"HLA-DRB5"	1.00112754550871e-301	1.16066191567046	0.841	0.431	3.91891377689385e-297	"0"	"HLA-DRB5"
"PMCH"	5.9488619749423e-293	2.86172011004377	0.279	0.015	2.32868202009116e-288	"0"	"PMCH"
"PDCD1"	4.03480682034872e-288	1.40316091376434	0.572	0.159	1.57942512982551e-283	"0"	"PDCD1"
"TMEM155"	1.50439940062546e-286	1.85740437757124	0.36	0.047	5.88897145374837e-282	"0"	"TMEM155"
"HLA-DQA1"	5.39892266140363e-280	1.1601884089653	0.802	0.399	2.11340827580645e-275	"0"	"HLA-DQA1"
"HMOX1"	8.42592852201595e-277	1.96947140516687	0.407	0.074	3.29832971994314e-272	"0"	"HMOX1"
"FXYD2"	7.19061174588139e-275	1.86357376584487	0.544	0.163	2.81476496792527e-270	"0"	"FXYD2"
"TRDV1"	7.52377109310991e-275	2.50501636538603	0.35	0.047	2.94518019439787e-270	"0"	"TRDV1"
"ADTRP"	1.01279959682405e-272	1.99165282276557	0.34	0.043	3.96460402176775e-268	"0"	"ADTRP"
"CD200R1"	6.98117155233081e-271	1.57277973715703	0.463	0.1	2.7327796041599e-266	"0"	"CD200R1"
"SNAP47"	8.2505380827209e-271	1.55796862137896	0.521	0.143	3.2296731324811e-266	"0"	"SNAP47"
"CD82"	1.27563185946055e-267	1.37396273259955	0.585	0.187	4.99346091385834e-263	"0"	"CD82"
"CCL3L3"	6.28599639647796e-262	1.70642222903719	0.44	0.091	2.4606532894013e-257	"0"	"CCL3L3"
"CCL4L2"	9.72429922462644e-255	1.55274094120873	0.659	0.259	3.80657693148002e-250	"0"	"CCL4L2"
"HLA-DMA"	6.1792312458733e-251	1.23337862656202	0.634	0.232	2.4188600711971e-246	"0"	"HLA-DMA"
"SIRPG"	1.54337782977009e-249	1.36445824602672	0.567	0.186	6.04155251463501e-245	"0"	"SIRPG"
"AC133644.2"	8.0228718586136e-243	2.07733239339756	0.373	0.071	3.1405531890543e-238	"0"	"AC133644.2"
"CCL3"	4.98682033554899e-241	1.95218671419265	0.558	0.197	1.95209082035065e-236	"0"	"CCL3"
"RP11-492E3.2"	9.96488499625491e-233	2.00711201838275	0.236	0.016	3.90075423178399e-228	"0"	"RP11-492E3.2"
"HLA-DQB1"	9.38085450347035e-229	1.20799851679695	0.67	0.28	3.67213549538347e-224	"0"	"HLA-DQB1"
"HLA-DRA"	1.07146528103851e-228	1.15151086324688	0.764	0.391	4.19425084262525e-224	"0"	"HLA-DRA"
"HLA-DPA1"	2.20368680956274e-227	0.92950955353726	0.896	0.619	8.62633201603336e-223	"0"	"HLA-DPA1"
"CTLA4"	6.32455126253609e-226	1.46249359935779	0.405	0.088	2.47574559171975e-221	"0"	"CTLA4"
"AC017002.1"	1.57228889422347e-218	1.98501720984283	0.295	0.042	6.15472487643779e-214	"0"	"AC017002.1"
"CADM1"	1.60205879489567e-215	1.8684163731213	0.328	0.057	6.27125915261911e-211	"0"	"CADM1"
"AC069363.1"	3.68465532737304e-201	1.41595246901518	0.389	0.091	1.44235832790018e-196	"0"	"AC069363.1"
"RTKN2"	3.44399958697379e-197	1.91033421066619	0.229	0.023	1.34815363832089e-192	"0"	"RTKN2"
"CD2"	1.3932779608317e-195	0.694191671272502	0.917	0.705	5.4539865776757e-191	"0"	"CD2"
"HNRNPLL"	7.96135395457697e-193	1.12197035580026	0.56	0.217	3.11647200551916e-188	"0"	"HNRNPLL"
"HLA-DPB1"	4.99068750881755e-192	0.823290173744911	0.886	0.646	1.95360462532663e-187	"0"	"HLA-DPB1"
"TTN"	5.26368918332803e-188	1.3770845722169	0.397	0.107	2.06047113081376e-183	"0"	"TTN"
"TOX"	4.23275334770707e-186	1.09708404429344	0.562	0.22	1.65691129795993e-181	"0"	"TOX"
"MIR155HG"	4.07466157533611e-184	1.33287252724377	0.47	0.154	1.59502627366532e-179	"0"	"MIR155HG"
"CCL5"	3.44391705050022e-179	0.530608618323643	0.984	0.915	1.34812132941831e-174	"0"	"CCL5"
"TSC22D1"	4.49634266821893e-175	1.68879235610468	0.356	0.091	1.7600933374743e-170	"0"	"TSC22D1"
"PTMS"	5.04397501729938e-166	1.19628141483113	0.469	0.17	1.97446402052184e-161	"0"	"PTMS"
"CMC1"	1.03780549402111e-163	1.04189051919623	0.759	0.482	4.06248960634563e-159	"0"	"CMC1"
"SEMA4A"	1.31117391521629e-161	1.38353993920368	0.296	0.063	5.13259029111418e-157	"0"	"SEMA4A"
"GABARAPL2"	1.90649882561083e-161	0.828972056503873	0.75	0.479	7.46298965285359e-157	"0"	"GABARAPL2"
"PHLDA1"	1.46121796527583e-155	1.26035632253988	0.474	0.184	5.71993772507223e-151	"0"	"PHLDA1"
"PMAIP1"	8.21989272685678e-153	1.00394876634665	0.698	0.421	3.21767700792808e-148	"0"	"PMAIP1"
"CD3D"	2.54105437683204e-152	0.478184559357566	0.965	0.878	9.94695735810901e-148	"0"	"CD3D"
"PARK7"	1.41512003158825e-149	0.661666359564704	0.857	0.632	5.53948736365222e-145	"0"	"PARK7"
"CSF1"	4.24735985159364e-149	1.41841103720258	0.248	0.045	1.66262901390633e-144	"0"	"CSF1"
"SH2D2A"	7.5779804135135e-148	0.946675323485909	0.679	0.407	2.96640043286986e-143	"0"	"SH2D2A"
"LIMD2"	1.37860616832442e-145	0.635723535982081	0.862	0.644	5.39655384590594e-141	"0"	"LIMD2"
"GALM"	9.33432573129838e-142	1.00967314964801	0.518	0.229	3.65392180751675e-137	"0"	"GALM"
"DUSP2"	9.34526397510131e-138	0.584748276511629	0.932	0.757	3.65820358305341e-133	"0"	"DUSP2"
"LTB"	1.46179373997298e-137	0.894390074454168	0.673	0.374	5.72219159512425e-133	"0"	"LTB"
"SHFM1"	1.0571311893015e-134	0.775953317702946	0.706	0.442	4.1381400405207e-130	"0"	"SHFM1"
"COTL1"	1.20783968489424e-134	0.822107737434189	0.686	0.409	4.72808844651849e-130	"0"	"COTL1"
"SRGN"	6.76273923696329e-132	0.431845200859603	0.979	0.921	2.64727427430928e-127	"0"	"SRGN"
"SUB1"	1.05035630275593e-129	0.484529811805467	0.941	0.849	4.11161974713809e-125	"0"	"SUB1"
"IL2RG"	6.01094432928281e-129	0.523843762351634	0.92	0.81	2.35298415769776e-124	"0"	"IL2RG"
"BHLHE40"	5.10091651542312e-128	0.824036577607286	0.673	0.39	1.99675376996238e-123	"0"	"BHLHE40"
"CXCR3"	2.40381536585534e-127	0.870998771063538	0.526	0.239	9.40973524964071e-123	"0"	"CXCR3"
"PTPRCAP"	6.56171374899805e-127	0.473527192066225	0.916	0.816	2.56858284704529e-122	"0"	"PTPRCAP"
"CCDC141"	2.6580218868712e-123	1.24014345171031	0.274	0.071	1.04048266761573e-118	"0"	"CCDC141"
"TRGV8"	3.78498166440853e-121	1.69794344371984	0.275	0.076	1.48163107253272e-116	"0"	"TRGV8"
"TOX2"	5.97461953678172e-120	1.25969347716774	0.262	0.066	2.33876481767321e-115	"0"	"TOX2"
"CCL4"	5.41527334109953e-119	0.771271446854914	0.871	0.679	2.11980874937341e-114	"0"	"CCL4"
"BATF"	5.42037389237722e-119	0.945540731351205	0.536	0.267	2.12180536017106e-114	"0"	"BATF"
"IGFLR1"	5.72441610562346e-118	1.20027696255095	0.365	0.135	2.2408226845463e-113	"0"	"IGFLR1"
"APOBEC3G"	3.1474292551415e-117	0.710991341133946	0.69	0.429	1.23206118192514e-112	"0"	"APOBEC3G"
"ANXA5"	2.12650664058459e-116	0.739426242011409	0.677	0.408	8.32421024456838e-112	"0"	"ANXA5"
"RNASEK"	2.20782437406478e-114	0.616513847298147	0.791	0.59	8.64252851227658e-110	"0"	"RNASEK"
"HLA-DQA2"	3.32954322240493e-114	0.932975817696496	0.496	0.233	1.30334969441041e-109	"0"	"HLA-DQA2"
"PKM"	4.04528921485186e-113	0.662549818659037	0.76	0.534	1.58352846315376e-108	"0"	"PKM"
"FAM3C"	4.86487481995197e-113	1.28589997425005	0.351	0.129	1.9043552482702e-108	"0"	"FAM3C"
"GZMA"	5.69949993914613e-112	0.501837124100742	0.933	0.788	2.23106925117875e-107	"0"	"GZMA"
"CXCR4"	6.10210420589509e-111	0.436853480058169	0.943	0.82	2.38866869139763e-106	"0"	"CXCR4"
"ARL6IP5"	2.37038383223799e-110	0.579015767091984	0.827	0.648	9.27886751129562e-106	"0"	"ARL6IP5"
"SYNGR2"	3.44523059392658e-110	0.989793378915969	0.542	0.299	1.34863551599256e-105	"0"	"SYNGR2"
"EOMES"	3.63131338838958e-110	0.911317858315693	0.453	0.197	1.4214776258851e-105	"0"	"EOMES"
"NAB1"	9.04032293157372e-109	1.20234879691618	0.228	0.054	3.53883441156453e-104	"0"	"NAB1"
"RP11-290F5.2"	6.2494208633262e-108	1.33805504087017	0.157	0.023	2.44633579694904e-103	"0"	"RP11-290F5.2"
"FKBP1A"	2.36380671086652e-107	0.704063689113967	0.675	0.44	9.253121369687e-103	"0"	"FKBP1A"
"PSMB9"	3.6775555090539e-107	0.483510935154992	0.873	0.698	1.43957910401915e-102	"0"	"PSMB9"
"TP53INP1"	7.27342303269501e-107	1.18700720687137	0.241	0.063	2.84718144614846e-102	"0"	"TP53INP1"
"ADGRG1"	3.58890270126775e-104	0.907007238676695	0.555	0.31	1.40487596241126e-99	"0"	"ADGRG1"
"MAP1LC3A"	4.30222822229583e-104	1.17731034320193	0.274	0.084	1.6841072376177e-99	"0"	"MAP1LC3A"
"UCP2"	1.42341446926124e-103	0.595382401597573	0.809	0.632	5.57195593992312e-99	"0"	"UCP2"
"SUMO2"	1.65982622081062e-103	0.398996779052367	0.941	0.838	6.49738974136317e-99	"0"	"SUMO2"
"BLVRA"	4.99326927560007e-103	0.980877186533671	0.381	0.154	1.95461525793365e-98	"0"	"BLVRA"
"BHLHE40-AS1"	6.45866809853088e-103	1.26826642039538	0.17	0.03	2.52824562716991e-98	"0"	"BHLHE40-AS1"
"TIGIT"	2.79546971535769e-101	0.934613442822441	0.416	0.179	1.09428662007677e-96	"0"	"TIGIT"
"IKZF2"	1.0074143486594e-100	1.07530913928536	0.318	0.112	3.94352346782723e-96	"0"	"IKZF2"
"CDKN2A"	2.29762734958203e-100	1.04440654917269	0.32	0.114	8.99406225993884e-96	"0"	"CDKN2A"
"DENND2D"	4.84564197847562e-100	0.769164611150329	0.592	0.348	1.89682655247428e-95	"0"	"DENND2D"
"LAYN"	2.24852515316005e-99	1.3916922909518	0.129	0.015	8.80185171204502e-95	"0"	"LAYN"
"AIF1"	9.09876207373764e-99	0.989846275169144	0.358	0.142	3.5617104137646e-94	"0"	"AIF1"
"PRR5L"	9.5210765842426e-98	1.02398270710572	0.316	0.113	3.72702542890177e-93	"0"	"PRR5L"
"APOBEC3C"	3.32834164811033e-97	0.817559378961048	0.513	0.274	1.30287933815279e-92	"0"	"APOBEC3C"
"AD000671.6"	1.2083514218805e-96	1.11712736452142	0.244	0.07	4.73009164095121e-92	"0"	"AD000671.6"
"CRTAM"	2.42684737272117e-96	0.934622875672106	0.448	0.215	9.49989404051704e-92	"0"	"CRTAM"
"DUSP1"	3.97709209118349e-95	0.420279185468159	0.95	0.821	1.55683269909378e-90	"0"	"DUSP1"
"TNFSF9"	4.38038639822408e-93	1.02683324559892	0.297	0.103	1.71470225558482e-88	"0"	"TNFSF9"
"CARHSP1"	1.89657673027063e-92	0.746251676469563	0.482	0.238	7.42414961064436e-88	"0"	"CARHSP1"
"PECAM1"	5.27004029676352e-90	0.967819530881955	0.356	0.149	2.06295727416808e-85	"0"	"PECAM1"
"RPS26"	1.44628252783134e-89	0.371023237242007	0.991	0.974	5.66147295519579e-85	"0"	"RPS26"
"TNIP3"	6.36789178955456e-89	1.25654195693175	0.221	0.062	2.49271124102113e-84	"0"	"TNIP3"
"SERP2"	2.73761943426882e-87	1.14420834774749	0.16	0.032	1.07164112754453e-82	"0"	"SERP2"
"RAB1B"	3.21703651325677e-85	0.653062637328612	0.602	0.365	1.25930894311436e-80	"0"	"RAB1B"
"APMAP"	7.60024298429087e-84	0.612984773625275	0.66	0.436	2.97511511620066e-79	"0"	"APMAP"
"FABP5"	8.13156805144517e-84	0.725675961052525	0.431	0.206	3.18310231373821e-79	"0"	"FABP5"
"IFNG"	4.85552686040395e-83	0.726596120772481	0.555	0.315	1.90069598950512e-78	"0"	"IFNG"
"GTPBP8"	7.15310178042978e-83	0.984259084924406	0.327	0.136	2.80008169194924e-78	"0"	"GTPBP8"
"ARID5B"	1.27680228903624e-82	0.792072137751245	0.523	0.302	4.99804256043235e-78	"0"	"ARID5B"
"CCND2"	1.22446080211525e-81	0.84128170354027	0.44	0.227	4.79315180988014e-77	"0"	"CCND2"
"OAZ1"	2.1604369129484e-81	0.317978501428936	0.968	0.907	8.45703029573653e-77	"0"	"OAZ1"
"CCR5"	2.78876264661738e-81	1.01546856059775	0.214	0.062	1.09166113801837e-76	"0"	"CCR5"
"UBL5"	2.36146360342021e-79	0.385155425472991	0.888	0.758	9.2439492755884e-75	"0"	"UBL5"
"ACP5"	7.14378147857733e-79	1.02579387026085	0.288	0.113	2.7964332597891e-74	"0"	"ACP5"
"SIT1"	3.0870441722329e-78	0.740219381644182	0.502	0.286	1.20842344122057e-73	"0"	"SIT1"
"ATP5E"	6.45082008258022e-78	0.309328551261554	0.926	0.857	2.52517352132603e-73	"0"	"ATP5E"
"ENTPD1"	1.40334921256553e-77	1.13917865388563	0.208	0.063	5.49341049258777e-73	"0"	"ENTPD1"
"CTSW"	2.63662841284944e-75	0.453996885431909	0.856	0.711	1.03210819220991e-70	"0"	"CTSW"
"TRBV24-1"	1.23622950141379e-74	1.59808926783881	0.119	0.019	4.83922038328427e-70	"0"	"TRBV24-1"
