"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
6.65798176867433e-82	-3.45051517674746	0	0.977	3.00061922350615e-77	"ATP5F1E"	-0.977
1.13606599362137e-73	-2.49896517192854	0	0.886	5.1200222200528e-69	"ELOB"	-0.886
1.31368895727217e-67	-2.42120188687397	0	0.818	5.92053339263423e-63	"RACK1"	-0.818
1.31440808607630e-65	-2.58996348854976	0	0.795	5.92377436232865e-61	"ATP5MG"	-0.795
1.02831585090231e-64	-3.68428970431402	0.009	0.841	4.63441387684654e-60	"MT1H"	-0.832
1.28433728885919e-63	-2.30618995842929	0	0.773	5.78825129343059e-59	"ATP5ME"	-0.773
1.28433728885919e-63	-2.31429530268858	0	0.773	5.78825129343059e-59	"ATP5MPL"	-0.773
1.28433728885919e-63	-2.52601369942751	0	0.773	5.78825129343059e-59	"ATP5MC2"	-0.773
2.46097823318211e-62	-5.01155838528578	0.024	0.886	1.10911367013051e-57	"MT1G"	-0.862
8.06114371945441e-54	-1.81734361532438	0	0.659	3.63299625148371e-49	"ATP5F1D"	-0.659
4.56809253155918e-52	-2.65708500620056	0.003	0.659	2.05874794212309e-47	"PDZK1IP1"	-0.656
6.85501422165295e-52	-1.70413982773049	0	0.636	3.08941780941455e-47	"ATP5MF"	-0.636
5.69909889835678e-50	-1.62529298687615	0	0.614	2.56846989151143e-45	"ATP5PF"	-0.614
5.69909889835678e-50	-2.68037362775959	0	0.614	2.56846989151143e-45	"ALDOB"	-0.614
6.35115836669405e-49	-3.06367741857848	0.039	0.795	2.86234005270167e-44	"MT1F"	-0.756
4.63301139545243e-48	-1.8518612164696	0	0.591	2.0880055757025e-43	"NAT8"	-0.591
1.19784753524231e-47	-2.57395905937698	0.036	0.773	5.39845927183002e-43	"MT1E"	-0.737
5.17178940457503e-45	-1.97666138025318	0.009	0.614	2.33082204885387e-40	"RBP5"	-0.605
5.40529597410937e-45	-2.51151115393201	0.009	0.614	2.43605878961161e-40	"CXCL14"	-0.605
2.86457019817883e-44	-1.74841206619968	0	0.545	1.29100449691523e-39	"ATP5MD"	-0.545
1.93501413013573e-42	-3.62161132426534	0.092	0.864	8.72072168169571e-38	"GPX3"	-0.772
1.95513519276031e-42	-1.70136851190919	0.003	0.545	8.81140328673217e-38	"SMIM24"	-0.542
2.17950038477007e-42	-2.30083545181854	0	0.523	9.82257233408176e-38	"AC020656.1"	-0.523
1.18242300630274e-38	-1.65649582124733	0	0.477	5.3289440048052e-34	"ATP5MC3"	-0.477
8.43477323456779e-37	-1.87550950963956	0	0.455	3.80138360135501e-32	"MIOX"	-0.455
8.45147576807049e-37	-1.6371849948645	0.003	0.477	3.80891109915401e-32	"PCSK1N"	-0.474
4.62438935959981e-36	-1.89289987800911	0.036	0.636	2.08411979658444e-31	"FXYD2"	-0.6
5.89160078159314e-35	-1.40222180840226	0	0.432	2.6552266402484e-30	"ATP5PO"	-0.432
5.89160078159314e-35	-1.48419845963235	0	0.432	2.6552266402484e-30	"SELENOP"	-0.432
5.89160078159314e-35	-1.55791214712875	0	0.432	2.6552266402484e-30	"COPS9"	-0.432
4.03050907156006e-33	-1.29286448597411	0	0.409	1.81646982837069e-28	"FYB1"	-0.409
4.03050907156006e-33	-1.43458898656121	0	0.409	1.81646982837069e-28	"ATP5IF1"	-0.409
4.12962865685857e-33	-1.98333933009003	0.003	0.432	1.86114104307302e-28	"PCK1"	-0.429
6.04971201262255e-33	-3.77321597595607	0.173	0.886	2.72648420984873e-28	"S100A9"	-0.713
3.4076691235445e-32	-1.84877786345544	0.012	0.477	1.53576832059903e-27	"GSTA1"	-0.465
6.03180579605272e-32	-3.8884657037443	0.122	0.795	2.71841423616504e-27	"S100A8"	-0.673
2.70128149406776e-31	-1.21696858745648	0	0.386	1.21741354374646e-26	"ATP5PD"	-0.386
4.60359988284616e-31	-3.15678483201848	0.149	0.818	2.07475039520111e-26	"MT1X"	-0.669
1.50708887147355e-29	-1.49488761404986	0.006	0.409	6.79214812595697e-25	"S100A1"	-0.403
1.77415438367283e-29	-1.13810800832328	0	0.364	7.99575897633671e-25	"TRIR"	-0.364
1.77415438367283e-29	-1.14408398037117	0	0.364	7.99575897633671e-25	"ATP5F1B"	-0.364
1.77415438367283e-29	-1.21431045441192	0	0.364	7.99575897633671e-25	"SELENOH"	-0.364
1.77415438367283e-29	-1.22999143951565	0	0.364	7.99575897633671e-25	"NDUFAF8"	-0.364
1.77415438367283e-29	-1.23434835999242	0	0.364	7.99575897633671e-25	"RIDA"	-0.364
1.77415438367283e-29	-1.40634493789948	0	0.364	7.99575897633671e-25	"ATP5F1C"	-0.364
4.62032153205321e-29	-1.87508775902855	0.033	0.545	2.08228650806574e-24	"CRYAB"	-0.512
1.14226671461494e-27	-1.1513420098251	0	0.341	5.14796762942661e-23	"SEM1"	-0.341
3.62005154544813e-27	5.44969725499405	1	0.068	1.63148483050256e-22	"MT-ATP8"	0.932
4.47598559035097e-27	3.06848849308142	1	0.636	2.01723718585938e-22	"MT-ND4L"	0.364
5.9649696507044e-26	-2.07569087887786	0.83	1	2.68829252217946e-21	"RPL41"	-0.17
7.2120679120925e-26	-1.0161540226266	0	0.318	3.25033476662185e-21	"NOP53"	-0.318
7.2120679120925e-26	-1.04045605027029	0	0.318	3.25033476662185e-21	"STMP1"	-0.318
7.2120679120925e-26	-1.0747193043392	0	0.318	3.25033476662185e-21	"ELOC"	-0.318
7.2120679120925e-26	-1.22225362078731	0	0.318	3.25033476662185e-21	"DPEP1"	-0.318
7.2120679120925e-26	-1.22701402164732	0	0.318	3.25033476662185e-21	"ASS1"	-0.318
7.2120679120925e-26	-1.45137625350621	0	0.318	3.25033476662185e-21	"SMIM25"	-0.318
8.91871566025216e-26	-1.48481160751713	0.024	0.455	4.01948677376244e-21	"MGST1"	-0.431
4.14895312098793e-25	-1.78515302019725	0.077	0.636	1.86985019256684e-20	"FCN1"	-0.559
1.28349711283009e-24	2.73996527377989	0.991	0.477	5.78446478810266e-20	"HLA-DRB1"	0.514
2.60442032861237e-24	3.09484899402384	0.955	0.091	1.17376015369902e-19	"HLA-DQA1"	0.864
4.11007126475267e-24	-1.71331227069661	0.768	1	1.85232691759873e-19	"RPL13A"	-0.232
4.46739269652906e-24	-0.997194900493244	0	0.295	2.01336454047171e-19	"VSIR"	-0.295
4.46739269652906e-24	-1.0005283880014	0	0.295	2.01336454047171e-19	"ATP5MC1"	-0.295
1.29859436150201e-23	3.19053746635758	0.926	0	5.85250506841727e-19	"RGS1"	0.926
1.86138885342571e-23	2.3233846858261	0.997	0.727	8.38890728461898e-19	"CD74"	0.27
5.85818864394672e-23	-1.22459674362528	0.012	0.364	2.64016845805391e-18	"UGT2B7"	-0.352
1.58256343406382e-22	2.6728767627823	0.952	0.205	7.13229688463882e-18	"HLA-DRB5"	0.747
2.0554050518114e-22	2.76331607613561	0.899	0	9.26329948750362e-18	"AC090498.1"	0.899
2.10082581912558e-22	2.43480753842515	0.967	0.341	9.46800180163515e-18	"HLA-DPA1"	0.626
2.71624105365285e-22	-0.679935239133961	0	0.273	1.22415551806027e-17	"SELENOT"	-0.273
2.71624105365285e-22	-1.11408710253319	0	0.273	1.22415551806027e-17	"RIPOR2"	-0.273
2.71624105365285e-22	-1.21570066203318	0	0.273	1.22415551806027e-17	"ATP5F1A"	-0.273
2.77626711582204e-22	2.57798728803324	0.896	0	1.25120806375868e-17	"GPX1"	0.896
3.26571271089202e-22	-0.988392621557283	0.003	0.295	1.47179140454482e-17	"ACMSD"	-0.292
3.64122692099969e-22	2.30931316619818	0.967	0.295	1.64102814875614e-17	"HLA-DQB1"	0.672
3.79608850138633e-22	2.22693809027554	0.973	0.364	1.71082116580479e-17	"HLA-DPB1"	0.609
3.62147353164976e-21	1.90659547496927	0.985	0.614	1.63212569124391e-16	"HLA-DRA"	0.371
5.51227596452951e-21	-1.7025748567652	0.009	0.318	2.48427253169416e-16	"S100A12"	-0.309
5.97151185963801e-21	-1.69212239662143	0.116	0.682	2.69124096490166e-16	"SPP1"	-0.566
1.34865926360377e-20	-1.12408321840635	0.006	0.295	6.07813756920946e-16	"KHK"	-0.289
1.43471356922324e-20	-1.5769772405548	0.759	0.977	6.46596711377531e-16	"RPL21"	-0.218
1.62204590976659e-20	-0.767803934489128	0	0.25	7.31023650613607e-16	"ATP5PB"	-0.25
1.62204590976659e-20	-0.837672640585618	0	0.25	7.31023650613607e-16	"JPT1"	-0.25
1.62204590976659e-20	-0.917630101280144	0	0.25	7.31023650613607e-16	"SMIM30"	-0.25
1.62204590976659e-20	-1.03939182923962	0	0.25	7.31023650613607e-16	"SMIM26"	-0.25
1.62204590976659e-20	-1.17260696040902	0	0.25	7.31023650613607e-16	"HPD"	-0.25
1.79330726395114e-20	-1.84810064258796	0.574	0.932	8.08207717717501e-16	"RPL7"	-0.358
3.15534857128502e-20	-1.2158093701413	0.869	1	1.42205249410673e-15	"RPL34"	-0.131
5.97801903769823e-20	-1.5952542665411	0.08	0.568	2.69417361990984e-15	"VCAN"	-0.488
1.28326329306142e-19	2.40983548885917	0.902	0.159	5.78341100916923e-15	"SGK1"	0.743
2.59776925735082e-19	-1.49597546877935	0.042	0.432	1.17076264890287e-14	"LGALS2"	-0.39
4.1106454374055e-19	2.33114900501934	0.938	0.295	1.85258568572991e-14	"KLF6"	0.643
7.53625786688179e-19	-1.48233662223628	0.601	0.909	3.39644069544629e-14	"RPS20"	-0.308
9.5204742903882e-19	-0.601870978346124	0	0.227	4.29068735319215e-14	"SLC22A8"	-0.227
9.5204742903882e-19	-0.672258521424074	0	0.227	4.29068735319215e-14	"REX1BD"	-0.227
9.5204742903882e-19	-0.828925533486501	0	0.227	4.29068735319215e-14	"SELENOF"	-0.227
9.5204742903882e-19	-0.85028924174954	0	0.227	4.29068735319215e-14	"SELENOK"	-0.227
9.5204742903882e-19	-0.860971726669562	0	0.227	4.29068735319215e-14	"CAMK2N1"	-0.227
9.5204742903882e-19	-1.00661500286827	0	0.227	4.29068735319215e-14	"AC004687.1"	-0.227
9.5204742903882e-19	-1.06057272351428	0	0.227	4.29068735319215e-14	"OGA"	-0.227
9.5204742903882e-19	-1.1853126450173	0	0.227	4.29068735319215e-14	"FABP1"	-0.227
1.1271151827899e-18	-1.09469436763346	0.003	0.25	5.07968270579751e-14	"BBOX1"	-0.247
1.17666692245745e-18	-1.15706268655974	0.003	0.25	5.30300248613123e-14	"LRP2"	-0.247
1.76060542646783e-18	2.32366911767852	0.842	0.068	7.93469653600521e-14	"NR4A2"	0.774
2.91910169680938e-18	-1.16437986539819	0.875	1	1.31558075271805e-13	"RPLP2"	-0.125
3.15893056634451e-18	-1.55856349135991	0.092	0.545	1.42366682764014e-13	"GATM"	-0.453
3.27181235102263e-18	-1.36314986471454	0.634	0.932	1.47454039035888e-13	"RPL31"	-0.298
4.4422569652085e-18	-1.50577785610463	0.714	0.909	2.00203636908017e-13	"RPL27A"	-0.195
5.31096123458e-18	-1.20406521281233	0.741	0.977	2.39354400920051e-13	"UBA52"	-0.236
6.98892370663064e-18	-1.34652668394881	0.098	0.545	3.1497681361043e-13	"SUCLG1"	-0.447
1.62275953552884e-17	2.23112659973884	0.815	0.068	7.31345267472138e-13	"CD83"	0.747
2.12396083788706e-17	-1.63278480455142	0.381	0.818	9.57226670418941e-13	"NDUFA4"	-0.437
3.35831561722001e-17	1.64660739339019	0.964	0.523	1.51352568236871e-12	"ZFP36"	0.441
3.72984154633664e-17	-1.12754306324895	0.854	0.955	1.680964988103e-12	"RPS14"	-0.101
3.74184298932536e-17	1.52875244685686	0.887	0.159	1.68637379842915e-12	"HLA-DMA"	0.728
4.4205334852487e-17	-0.900460075108449	0.006	0.25	1.99224603113188e-12	"CUBN"	-0.244
5.49741209443877e-17	-0.574212284868302	0	0.205	2.47757368272167e-12	"NBDY"	-0.205
5.49741209443877e-17	-0.641565901306136	0	0.205	2.47757368272167e-12	"RAB5IF"	-0.205
5.49741209443877e-17	-0.645270574047142	0	0.205	2.47757368272167e-12	"METTL26"	-0.205
5.49741209443877e-17	-0.649960171519587	0	0.205	2.47757368272167e-12	"RTRAF"	-0.205
5.49741209443877e-17	-0.652423007610743	0	0.205	2.47757368272167e-12	"SLC4A4"	-0.205
5.49741209443877e-17	-0.918130489331401	0	0.205	2.47757368272167e-12	"ATP2B1-AS1"	-0.205
5.49741209443877e-17	-0.92355035876415	0	0.205	2.47757368272167e-12	"BEX3"	-0.205
5.49741209443877e-17	-1.18674698004644	0	0.205	2.47757368272167e-12	"PCP4"	-0.205
7.59990607544035e-17	2.0679660639571	0.759	0	3.42512567007946e-12	"ATP5E"	0.759
9.70643243611436e-17	1.83063228770415	0.756	0	4.37449497030802e-12	"GNB2L1"	0.756
1.16501339483182e-16	2.25982828586826	0.771	0.045	5.25048236782804e-12	"NR4A1"	0.726
2.93601617541222e-16	-1.03258531415949	0.902	0.977	1.32320376993478e-11	"RPS9"	-0.075
7.44892801169437e-16	-1.02087972001742	0.869	0.977	3.35708287631042e-11	"RPS27A"	-0.108
7.67547632821185e-16	-1.45708121630006	0.631	0.886	3.45918367159852e-11	"COX7C"	-0.255
8.34757656785492e-16	2.39314343091604	0.729	0	3.76208580760085e-11	"C3"	0.729
1.02678408680301e-15	-0.776839286503352	0.009	0.25	4.62751052240379e-11	"PDZK1"	-0.241
1.41497088742615e-15	-0.997335228180715	0.851	0.977	6.37699079545219e-11	"RPS15"	-0.126
1.61957275957391e-15	-1.11411425272346	0.045	0.386	7.29909051284768e-11	"IGFBP7"	-0.341
2.12211600870265e-15	1.84960216533597	0.911	0.295	9.56395242802112e-11	"MT-ND6"	0.616
2.809697321522e-15	-0.787797953086477	0.006	0.227	1.26627438886353e-10	"ACSM2B"	-0.221
3.12671528992413e-15	-0.472947836998482	0	0.182	1.40914804686301e-10	"PXMP2"	-0.182
3.12671528992413e-15	-0.549345439971277	0	0.182	1.40914804686301e-10	"SLC13A1"	-0.182
3.12671528992413e-15	-0.561660692055989	0	0.182	1.40914804686301e-10	"MMP24OS"	-0.182
3.12671528992413e-15	-0.597182211315743	0	0.182	1.40914804686301e-10	"FAM151A"	-0.182
3.12671528992413e-15	-0.650237816654922	0	0.182	1.40914804686301e-10	"WASHC4"	-0.182
3.12671528992413e-15	-0.684083369946891	0	0.182	1.40914804686301e-10	"MCCD1"	-0.182
3.12671528992413e-15	-0.775075752372866	0	0.182	1.40914804686301e-10	"PTH1R"	-0.182
3.12671528992413e-15	-1.38602172357088	0	0.182	1.40914804686301e-10	"MTRNR2L10"	-0.182
3.20656018025323e-15	2.04490086004351	0.729	0.045	1.44513254203653e-10	"ATF3"	0.684
3.71183347384176e-15	0.960511938281902	1	1	1.672849109991e-10	"MT-ND3"	0
3.8753004311089e-15	-0.771077698942451	0.003	0.205	1.74652039829216e-10	"TSPAN1"	-0.202
4.55774142581832e-15	-0.980972202321532	0.786	0.955	2.0540829057878e-10	"RPL35"	-0.169
5.2147680053506e-15	1.55226151114749	0.777	0.068	2.35019164465141e-10	"PLXDC2"	0.709
5.79319881729003e-15	2.58149515747973	0.738	0.045	2.61087884297627e-10	"C1QC"	0.693
6.50669838346916e-15	-0.935983513443254	0.869	1	2.93243882746188e-10	"RPL32"	-0.131
8.62331084957251e-15	-1.71199869736301	0.539	0.886	3.88635373368534e-10	"MT2A"	-0.347
1.41691529483998e-14	-1.02889242998599	0.012	0.25	6.38575385078484e-10	"AK4"	-0.238
2.46339847606288e-14	-1.75477568503124	0.548	0.864	1.11020442519202e-09	"S100A4"	-0.316
2.65143622542475e-14	-0.832543675138601	0.893	1	1.19494927807443e-09	"RPL11"	-0.107
3.37787939429693e-14	1.52812914325071	0.827	0.159	1.52234268542174e-09	"REL"	0.668
3.45634443265562e-14	-0.894847486642265	0.018	0.273	1.55770530890924e-09	"GCSH"	-0.255
3.56504696138645e-14	-0.936853996750283	0.842	0.977	1.60669536455764e-09	"H3F3A"	-0.135
3.64380756536078e-14	1.10159289073312	1	0.886	1.6421911935568e-09	"MT-ND5"	0.114
3.70828505090046e-14	-1.03901856168844	0.842	0.977	1.67124990673982e-09	"RPS15A"	-0.135
3.85272273090672e-14	1.85750922749978	0.833	0.227	1.73634508036504e-09	"FOSB"	0.606
5.8576602114873e-14	-0.765777461185877	0.009	0.227	2.6399303041131e-09	"MACROD1"	-0.218
5.89625260262167e-14	-0.927385678828646	0.979	1	2.65732312294954e-09	"TMSB4X"	-0.021
7.34719400096786e-14	1.98094227644984	0.714	0.045	3.3112333923562e-09	"GPR183"	0.669
7.65492160955336e-14	1.93063262332963	0.72	0.091	3.44992007099351e-09	"MAP3K8"	0.629
7.96759150156508e-14	1.88319460037855	0.78	0.136	3.59083413792535e-09	"GADD45B"	0.644
9.51958370427559e-14	-1.11028641134972	0.744	0.932	4.29028598384292e-09	"RPL35A"	-0.188
1.0451192322756e-13	1.52353138665083	0.723	0.068	4.71014335601966e-09	"JMJD1C"	0.655
1.37421601628584e-13	1.48091298180343	0.661	0	6.193316742197e-09	"ATP5G2"	0.661
1.41231349994346e-13	-1.42313986118165	0.631	0.886	6.36501448154517e-09	"S100A6"	-0.255
1.75453155873891e-13	-0.414574294439706	0	0.159	7.9073228289245e-09	"NOX4"	-0.159
1.75453155873891e-13	-0.472197258453381	0	0.159	7.9073228289245e-09	"MCRIP1"	-0.159
1.75453155873891e-13	-0.499529461045225	0	0.159	7.9073228289245e-09	"TUT4"	-0.159
1.75453155873891e-13	-0.526708638641784	0	0.159	7.9073228289245e-09	"AC245595.1"	-0.159
1.75453155873891e-13	-0.539669481558886	0	0.159	7.9073228289245e-09	"SLC34A1"	-0.159
1.75453155873891e-13	-0.549389185164735	0	0.159	7.9073228289245e-09	"AMN"	-0.159
1.75453155873891e-13	-0.578422360539811	0	0.159	7.9073228289245e-09	"FTCD"	-0.159
1.75453155873891e-13	-0.591422161563072	0	0.159	7.9073228289245e-09	"AP1M2"	-0.159
1.75453155873891e-13	-0.599782982656131	0	0.159	7.9073228289245e-09	"PAH"	-0.159
1.75453155873891e-13	-0.629237941197168	0	0.159	7.9073228289245e-09	"CDH6"	-0.159
1.75453155873891e-13	-0.648402938367043	0	0.159	7.9073228289245e-09	"NORAD"	-0.159
1.75453155873891e-13	-0.650141963208267	0	0.159	7.9073228289245e-09	"AC020916.1"	-0.159
1.75453155873891e-13	-0.657327107784495	0	0.159	7.9073228289245e-09	"ASPDH"	-0.159
1.75453155873891e-13	-0.677258807825945	0	0.159	7.9073228289245e-09	"MCRIP2"	-0.159
1.75453155873891e-13	-0.681243060588345	0	0.159	7.9073228289245e-09	"HGD"	-0.159
1.75453155873891e-13	-0.762898338834646	0	0.159	7.9073228289245e-09	"POLR2J3.1"	-0.159
1.75453155873891e-13	-0.912475321893131	0	0.159	7.9073228289245e-09	"SMIM32"	-0.159
1.75453155873891e-13	-0.917416180304944	0	0.159	7.9073228289245e-09	"AC007952.4"	-0.159
1.75453155873891e-13	-0.935694411481244	0	0.159	7.9073228289245e-09	"MTRNR2L6"	-0.159
2.05960149039301e-13	-1.84953938619287	0.003	0.182	9.28221199690321e-09	"MTRNR2L1"	-0.179
2.08919886453362e-13	-1.50649794423567	0.345	0.727	9.41560144268014e-09	"NDUFB1"	-0.382
2.14668675212766e-13	-0.595130163864611	0.003	0.182	9.67468785448892e-09	"ACSM2A"	-0.179
2.14668675212766e-13	-0.853750912309578	0.003	0.182	9.67468785448892e-09	"AOX1"	-0.179
2.36357544018684e-13	-0.888691673336684	1	1	1.06521617938341e-08	"MT-ND4"	0
2.36559899093587e-13	1.48610912210703	0.83	0.182	1.06612815323498e-08	"HERPUD1"	0.648
3.15789081212029e-13	1.31729279730298	0.649	0	1.42319823120637e-08	"ATP5L"	0.649
3.87837846245388e-13	1.38910386237556	0.646	0	1.74790760545871e-08	"FYB"	0.646
4.75866380398211e-13	1.89731528687235	0.643	0	2.14463460317866e-08	"TAGAP"	0.643
7.14274831704846e-13	2.21662838422676	0.637	0	3.2190938115274e-08	"NR4A3"	0.637
7.14274831704846e-13	1.34099884511492	0.637	0	3.2190938115274e-08	"SKIL"	0.637
7.14277067051473e-13	3.11306264355425	0.637	0	3.21910388578758e-08	"CCL3"	0.637
7.27736155521289e-13	-0.93435410429766	0.714	0.932	3.27976130570334e-08	"RPL23A"	-0.218
7.96725946002142e-13	-1.01897862817196	0.792	0.909	3.59068449344245e-08	"PFDN5"	-0.117
8.25642898758287e-13	-1.03166494493311	0.03	0.295	3.72100741612385e-08	"ALDH6A1"	-0.265
1.13866435868711e-12	1.39589119672425	0.762	0.136	5.13173253173108e-08	"MAT2A"	0.626
1.5152760945554e-12	1.19577173085519	0.798	0.182	6.82904630294229e-08	"HCLS1"	0.616
1.59062924208563e-12	1.73397812205206	0.625	0	7.16864786823153e-08	"A2M"	0.625
1.65355933417664e-12	-0.951251290064309	0.818	0.909	7.45226120726726e-08	"RPL8"	-0.0910000000000001
1.7487697341161e-12	1.50956116273111	0.64	0.023	7.88135543771445e-08	"LCP2"	0.617
1.87775728562437e-12	-0.911808229141311	1	1	8.4626765348519e-08	"MT-ND2"	0
2.02183191678313e-12	-0.98989424129345	0.024	0.273	9.11199208255822e-08	"CD24"	-0.249
2.79500389063027e-12	1.73417357274701	0.723	0.114	1.25965235342925e-07	"SRSF7"	0.609
3.06375971242187e-12	1.35971655176096	0.693	0.091	1.38077522719429e-07	"MEF2A"	0.602
3.42491890610365e-12	1.81064336216788	0.637	0.023	1.54354245260279e-07	"OLR1"	0.614
3.54894881277115e-12	-1.19654528804893	0.765	0.909	1.5994402509397e-07	"RPS29"	-0.144
4.4637936074419e-12	-0.837888535197278	0.881	0.909	2.01174250300191e-07	"RPS16"	-0.028
4.48529100063489e-12	-1.31293359417985	0.36	0.705	2.02143094816613e-07	"COX7A2"	-0.345
5.09193658719459e-12	-1.35806064569381	0.327	0.682	2.29483398111686e-07	"RPS27L"	-0.355
5.51105942099158e-12	-0.818428715536567	0.866	0.977	2.48372425985249e-07	"SERF2"	-0.111
5.88289771617421e-12	-0.788971778466525	0.006	0.182	2.65130434272539e-07	"SLC3A1"	-0.176
