""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"H1FX1"	4.2420088820373e-36	0.292956843836222	0.615	0.297	1.6605343768735e-31	"17"	"H1FX"
"SIMC1"	5.27335363397478e-36	0.281614078263966	0.143	0.037	2.06425428001943e-31	"17"	"SIMC1"
"KIF5B"	5.9074543264747e-36	0.341033074387622	0.72	0.372	2.31247299609852e-31	"17"	"KIF5B"
"ZNF678"	6.08548875926849e-36	0.281538674716132	0.118	0.027	2.38216457481565e-31	"17"	"ZNF678"
"LAT8"	6.28499014291422e-36	0.321879844822359	0.649	0.321	2.46025939144377e-31	"17"	"LAT"
"GTF3C14"	6.57757878077192e-36	0.266278207308669	0.282	0.102	2.57479321373317e-31	"17"	"GTF3C1"
"HNRNPL2"	6.57859706032381e-36	0.298819450928358	0.575	0.266	2.57519181926376e-31	"17"	"HNRNPL"
"ABI35"	7.75923478266611e-36	0.298498554246935	0.512	0.233	3.03735245567465e-31	"17"	"ABI3"
"CD8B3"	8.59430293439653e-36	0.619475836734953	0.345	0.148	3.36423988366952e-31	"17"	"CD8B"
"GTSF1"	9.8711362911783e-36	0.484066987377339	0.118	0.027	3.86405630118175e-31	"17"	"GTSF1"
"LAP33"	1.04253101245719e-35	0.327429110460249	0.517	0.238	4.08098764826369e-31	"17"	"LAP3"
"RABL3"	1.25367562118915e-35	0.370158753566057	0.146	0.038	4.90751321914494e-31	"17"	"RABL3"
"TMEM193"	1.55642470780404e-35	0.261120304254319	0.233	0.078	6.09262451869892e-31	"17"	"TMEM19"
"ANXA24"	1.62257754026621e-35	0.415457691571394	0.796	0.477	6.35157978137206e-31	"17"	"ANXA2"
"TRAF32"	1.73010312410401e-35	0.258366621417057	0.228	0.075	6.77248867930513e-31	"17"	"TRAF3"
"ADAL"	1.74669463977578e-35	0.308163930109063	0.121	0.028	6.83743616740229e-31	"17"	"ADAL"
"TCEB22"	1.90675225907595e-35	0.306528286596939	0.908	0.714	7.46398171815282e-31	"17"	"TCEB2"
"KRI1"	1.94463971895233e-35	0.334658483008615	0.273	0.096	7.6122921798389e-31	"17"	"KRI1"
"CYCS5"	2.00741083692623e-35	0.262006367130509	0.901	0.589	7.85800972114772e-31	"17"	"CYCS"
"SDHB3"	2.20181331765221e-35	0.251051092458634	0.618	0.288	8.61899823194959e-31	"17"	"SDHB"
"SOCS4"	2.24385229805025e-35	0.251073115798815	0.193	0.059	8.7835598207177e-31	"17"	"SOCS4"
"SH3KBP12"	2.8093844838705e-35	0.345487142639731	0.761	0.413	1.09973355621111e-30	"17"	"SH3KBP1"
"MVK"	3.07614432860912e-35	0.259461454895583	0.125	0.03	1.20415669743404e-30	"17"	"MVK"
"KCNAB22"	3.19969699830333e-35	0.263230478834213	0.564	0.26	1.25252138998584e-30	"17"	"KCNAB2"
"ARF53"	3.25874078956086e-35	0.361641616283693	0.888	0.548	1.2756340820736e-30	"17"	"ARF5"
"LRIF13"	3.37288696051887e-35	0.266156167228933	0.266	0.094	1.32031660069511e-30	"17"	"LRIF1"
"TRMT10A"	3.44478284306487e-35	0.259674925492707	0.11	0.024	1.34846024391774e-30	"17"	"TRMT10A"
"ANKRD102"	3.559340376747e-35	0.279780444753668	0.584	0.273	1.39330379047761e-30	"17"	"ANKRD10"
"TLN15"	3.70421051767721e-35	0.268891818270909	0.731	0.365	1.45001320714474e-30	"17"	"TLN1"
"DNAJB124"	3.70977323176092e-35	0.253017403388854	0.358	0.143	1.45219073157281e-30	"17"	"DNAJB12"
"BBS4"	3.9012798541377e-35	0.308835921921082	0.132	0.033	1.5271559989022e-30	"17"	"BBS4"
"PPP2CA2"	3.91964571922614e-35	0.294074078678399	0.698	0.348	1.53434531679107e-30	"17"	"PPP2CA"
"ANXA72"	3.94871484419225e-35	0.300685641038858	0.658	0.325	1.54572442575906e-30	"17"	"ANXA7"
"HGH1"	4.0103772875314e-35	0.274241174561023	0.127	0.031	1.56986218920417e-30	"17"	"HGH1"
"EIF5A2"	4.44999349165687e-35	0.26207127074657	0.136	0.034	1.74194995230908e-30	"17"	"EIF5A2"
"PRDX62"	5.05671765993163e-35	0.343029392982885	0.843	0.486	1.97945212798024e-30	"17"	"PRDX6"
"GTF2A2"	5.43819902606979e-35	0.364082295549121	0.705	0.371	2.12878300875502e-30	"17"	"GTF2A2"
"BCKDHA1"	6.34214526827458e-35	0.254802536555447	0.363	0.146	2.48263276526608e-30	"17"	"BCKDHA"
"TRAP11"	7.55684977963438e-35	0.254762356192882	0.286	0.106	2.95812884623788e-30	"17"	"TRAP1"
"VAMP1"	8.00878119468024e-35	0.317024077798822	0.172	0.05	3.13503739865758e-30	"17"	"VAMP1"
"NDUFV23"	8.51792133419913e-35	0.395405558891445	0.767	0.443	3.33434030627225e-30	"17"	"NDUFV2"
"NBN1"	9.8276976346504e-35	0.277390567685325	0.349	0.139	3.8470522390839e-30	"17"	"NBN"
"GEM2"	1.42965466796787e-34	0.395911221563368	0.141	0.037	5.59638319776021e-30	"17"	"GEM"
"NAPEPLD"	1.45662093708218e-34	0.255811037181161	0.114	0.026	5.7019426582082e-30	"17"	"NAPEPLD"
