""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"YWHAZ"	1.56033715834793e-100	0.383674050859547	0.941	0.847	7.03212750524245e-96	"2"	"YWHAZ"
"CYBA"	2.4086202704803e-100	0.502359569360473	0.852	0.666	1.08551698350006e-95	"2"	"CYBA"
"C12orf75"	3.03091571372075e-100	0.919971169085293	0.379	0.156	1.36597309385967e-95	"2"	"C12orf75"
"DOK2"	4.15997492731916e-100	0.779306833601206	0.492	0.241	1.8748175002442e-95	"2"	"DOK2"
"EZR"	8.1040544227413e-100	0.612484193721111	0.678	0.431	3.65233524724105e-95	"2"	"EZR"
"CXCR6"	1.17928106791782e-98	1.252127422316	0.15	0.027	5.31478391689202e-94	"2"	"CXCR6"
"CD99"	1.71123626672066e-98	0.502263032827946	0.864	0.734	7.71219960685667e-94	"2"	"CD99"
"CD3D"	7.45650237904966e-98	0.47103028906806	0.922	0.822	3.3604964921901e-93	"2"	"CD3D"
"PGAM1"	1.11795343781466e-97	0.721940541669428	0.634	0.4	5.03839255354313e-93	"2"	"PGAM1"
"HACD1"	2.60950933146777e-96	1.01624984256826	0.105	0.011	1.1760536655059e-91	"2"	"HACD1"
"PRDM1"	1.01498117756446e-94	0.804914582808717	0.446	0.206	4.57431717104751e-90	"2"	"PRDM1"
"LCP1"	1.17900345606684e-94	0.535211376175145	0.8	0.603	5.31353277580202e-90	"2"	"LCP1"
"NINJ2"	2.53226283081061e-94	1.00892573611623	0.147	0.027	1.14124021258973e-89	"2"	"NINJ2"
"CAPZB"	3.59516327864526e-94	0.515470151515707	0.802	0.624	1.62026818641984e-89	"2"	"CAPZB"
"PTPRCAP"	6.96075359887916e-94	0.460535932553763	0.909	0.841	3.13707243194286e-89	"2"	"PTPRCAP"
"CD70"	1.53524662345683e-93	1.23155726930273	0.142	0.025	6.91904948259525e-89	"2"	"CD70"
"GBP5"	5.44302143163482e-92	0.94250501903066	0.382	0.169	2.45306089880918e-87	"2"	"GBP5"
"HNRNPLL"	1.66205932063528e-91	0.827941486159943	0.378	0.162	7.49056894623906e-87	"2"	"HNRNPLL"
"ATP5J2"	1.72682352106815e-91	0.595612961020649	0.659	0.432	7.78244824474995e-87	"2"	"ATP5J2"
"PHLDA1"	5.9005812623834e-91	0.98082646042752	0.302	0.11	2.65927396333095e-86	"2"	"PHLDA1"
"PDIA6"	7.52739694662968e-91	0.69874154295887	0.475	0.233	3.39244725590706e-86	"2"	"PDIA6"
"PSMB8"	2.03638488898234e-90	0.619994628889572	0.68	0.465	9.17757941766559e-86	"2"	"PSMB8"
"MYL12B"	3.08352626374742e-90	0.411091604648288	0.911	0.788	1.38968361654569e-85	"2"	"MYL12B"
"COX8A"	5.65483883839811e-90	0.559462805422347	0.776	0.591	2.54852276768926e-85	"2"	"COX8A"
"ANXA6"	1.18948988189535e-88	0.576693715439359	0.688	0.452	5.36079299972597e-84	"2"	"ANXA6"
"TNFRSF4"	1.68604271855854e-88	1.54141215719196	0.275	0.1	7.59865732399963e-84	"2"	"TNFRSF4"
"TPM4"	4.55453956652261e-87	0.768418094448017	0.406	0.187	2.05263989184041e-82	"2"	"TPM4"
"SRP14"	3.60327376336945e-86	0.335844199782246	0.955	0.867	1.62392341967535e-81	"2"	"SRP14"
"EMP3"	1.21812515193233e-85	0.490125505066873	0.831	0.658	5.4898464347286e-81	"2"	"EMP3"
"APOBEC3C"	2.50568008194087e-84	0.930013921233835	0.274	0.099	1.12925989932911e-79	"2"	"APOBEC3C"
"TRAPPC1"	2.52466256366225e-84	0.578385666316301	0.635	0.404	1.1378149241913e-79	"2"	"TRAPPC1"
"GNG5"	5.67776558899812e-84	0.608122951496547	0.652	0.427	2.55885539564967e-79	"2"	"GNG5"
"DNPH1"	8.30405862980616e-84	0.909655102232439	0.411	0.199	3.74247314328104e-79	"2"	"DNPH1"
"ALDOA"	1.15767800640512e-83	0.408365371143069	0.894	0.772	5.21742323926659e-79	"2"	"ALDOA"
"BRK1"	2.73883967477836e-83	0.577790862893599	0.659	0.45	1.23434026462911e-78	"2"	"BRK1"
"BTG3"	2.74962010367765e-83	0.740836336451387	0.415	0.196	1.23919878832545e-78	"2"	"BTG3"
"PSMD8"	8.65420524942671e-83	0.675188817338911	0.529	0.302	3.90027722181163e-78	"2"	"PSMD8"
"IL2RB"	2.46832089900763e-82	0.851081768421442	0.309	0.123	1.11242286276476e-77	"2"	"IL2RB"
"CAP1"	1.72774587948277e-80	0.564295978258622	0.696	0.493	7.78660512965297e-76	"2"	"CAP1"
"DYNLL1"	2.95402483195673e-80	0.721433790313449	0.519	0.293	1.33131991126626e-75	"2"	"DYNLL1"
"RBX1"	2.91189340854288e-79	0.636463488852104	0.533	0.306	1.31233212136211e-74	"2"	"RBX1"
"TAGLN2"	6.39521935603377e-78	0.485074852765047	0.849	0.714	2.8821974593773e-73	"2"	"TAGLN2"
"ITM2A"	7.44301872123295e-78	0.723624585955071	0.615	0.41	3.35441967728526e-73	"2"	"ITM2A"
"TCEB2"	2.23466573167576e-77	0.429453946533661	0.827	0.678	1.00711915195163e-72	"2"	"TCEB2"
"ARL6IP5"	3.01344903168418e-77	0.517669034988768	0.769	0.589	1.35810120959943e-72	"2"	"ARL6IP5"
"ACTN4"	7.27986509315621e-77	0.729716127795694	0.312	0.127	3.28088960018364e-72	"2"	"ACTN4"
"CASP1"	2.67230742759254e-76	0.79676126970703	0.371	0.172	1.20435551146741e-71	"2"	"CASP1"
"SH3BGRL"	5.39309106881754e-76	0.528812657304297	0.696	0.492	2.43055828289469e-71	"2"	"SH3BGRL"
"ARID5B"	6.9512903068323e-76	0.613807826694306	0.587	0.365	3.13280751548318e-71	"2"	"ARID5B"
"OPTN"	1.25256787832414e-75	0.629012506349602	0.527	0.306	5.64507291403123e-71	"2"	"OPTN"
"ACP5"	2.39306239090583e-74	0.881951315570554	0.232	0.079	1.07850535833344e-69	"2"	"ACP5"
"TRAC"	2.43181570749236e-74	0.62061419606719	0.554	0.32	1.09597070305266e-69	"2"	"TRAC"
"RHOG"	3.45645578052202e-74	0.571914132732688	0.611	0.386	1.55775549116567e-69	"2"	"RHOG"
"RPS27L"	5.199858229999e-74	0.620411600351596	0.676	0.467	2.34347210709595e-69	"2"	"RPS27L"
"TBCB"	6.12832748775118e-74	0.591024114346221	0.511	0.289	2.7619146321797e-69	"2"	"TBCB"
"SHFM1"	2.51710479679463e-73	0.617902415015	0.601	0.389	1.13440878981941e-68	"2"	"SHFM1"
"ITGB2"	5.38532850746889e-73	0.486984034859836	0.768	0.585	2.42705985174608e-68	"2"	"ITGB2"
"IL10RA"	2.2659815024633e-72	0.592351044724735	0.56	0.334	1.02123254353016e-67	"2"	"IL10RA"
"NCF4"	3.89776102356632e-72	0.927062119990945	0.186	0.056	1.75664293810087e-67	"2"	"NCF4"
"FLNA"	3.90029526343831e-72	0.564649241304675	0.571	0.355	1.75778506932638e-67	"2"	"FLNA"
"ENO1"	5.31098432726548e-72	0.485982388945477	0.757	0.564	2.39355441661201e-67	"2"	"ENO1"
"VAMP8"	5.49676278818919e-72	0.523085322947872	0.675	0.456	2.4772810533811e-67	"2"	"VAMP8"
"CLDND1"	1.0152470911413e-71	0.669647115865734	0.537	0.326	4.5755155903556e-67	"2"	"CLDND1"
"PSME2"	1.23534488974908e-71	0.524102373620331	0.696	0.498	5.56745234912115e-67	"2"	"PSME2"
"TPI1"	3.95762287798023e-71	0.478126259548754	0.751	0.563	1.78362147864813e-66	"2"	"TPI1"
"TSPO"	4.83476007692608e-71	0.472921481593601	0.713	0.525	2.17892967146904e-66	"2"	"TSPO"
"MYO1G"	5.11789018353003e-71	0.65707608598932	0.437	0.229	2.30653074791331e-66	"2"	"MYO1G"
"SH2D2A"	7.19100032656548e-71	0.829063189504531	0.367	0.179	3.24084002717653e-66	"2"	"SH2D2A"
"POMP"	7.42829951034387e-71	0.590566694787947	0.569	0.354	3.34778602332177e-66	"2"	"POMP"
"GK"	1.01416150595369e-70	0.861275488424096	0.135	0.03	4.57062307503208e-66	"2"	"GK"
"CD27"	1.64708805697535e-70	0.78671900071991	0.619	0.465	7.42309645517652e-66	"2"	"CD27"
"SEC11C"	2.55378394354466e-70	0.643725891623445	0.459	0.243	1.15093934767671e-65	"2"	"SEC11C"
"APOBEC3G"	4.32176699812296e-70	0.79596311630177	0.333	0.152	1.94773395071406e-65	"2"	"APOBEC3G"
"NDUFA6"	7.73056335574978e-70	0.547019601288272	0.615	0.392	3.48401029316931e-65	"2"	"NDUFA6"
"MT1E"	1.1895535103318e-69	0.940810790552063	0.157	0.041	5.36107976036335e-65	"2"	"MT1E"
"MT2A"	1.36444702843382e-69	0.677652827937916	0.568	0.359	6.14928986774556e-65	"2"	"MT2A"
"PSME1"	1.41814192523151e-69	0.356729758844606	0.906	0.803	6.39128202863335e-65	"2"	"PSME1"
"CD79B"	1.74176611748835e-69	0.826786177300352	0.191	0.059	7.8497915382965e-65	"2"	"CD79B"
"IFI27L2"	9.22472420405105e-69	0.706649213178442	0.411	0.213	4.15739870428173e-64	"2"	"IFI27L2"
"PPM1G"	1.81598172509418e-68	0.629734615750677	0.454	0.252	8.18426643865447e-64	"2"	"PPM1G"
"RTKN2"	4.94938712306598e-68	1.07901793330595	0.136	0.032	2.23058978862338e-63	"2"	"RTKN2"
"TYMP"	6.70365878575558e-68	0.780026782233119	0.265	0.104	3.02120494156432e-63	"2"	"TYMP"
"GALM"	7.16574658079199e-68	0.772874741129755	0.297	0.127	3.22945866903133e-63	"2"	"GALM"
"CALM1"	1.78756618664313e-67	0.277131459387145	0.962	0.929	8.05620328996326e-63	"2"	"CALM1"
"CALM2"	2.57594620243184e-67	0.433003099007408	0.785	0.596	1.16092743451198e-62	"2"	"CALM2"
"IQGAP1"	4.12263872170239e-67	0.601086453517294	0.506	0.293	1.85799081909683e-62	"2"	"IQGAP1"
"PPIB"	5.75504936767198e-67	0.385580605897202	0.845	0.71	2.59368564902241e-62	"2"	"PPIB"
"LPXN"	7.72051689280593e-67	0.635444274372656	0.476	0.272	3.47948255324978e-62	"2"	"LPXN"
"REEP5"	2.554466568197e-66	0.595713182105337	0.445	0.236	1.15124699295502e-61	"2"	"REEP5"
"PHTF2"	2.97563810565705e-66	0.737203681421796	0.338	0.157	1.34106058145752e-61	"2"	"PHTF2"
"PSMB6"	3.79095931576198e-66	0.618430333027417	0.522	0.319	1.70850954442761e-61	"2"	"PSMB6"
"ATP6V0E1"	4.60175628852188e-66	0.47947714656248	0.702	0.497	2.07391952411104e-61	"2"	"ATP6V0E1"
"TAP1"	4.73022185681817e-65	0.659862452045928	0.444	0.249	2.13181638643081e-60	"2"	"TAP1"
"COTL1"	6.67279299548433e-65	0.815852393472319	0.619	0.456	3.00729434720488e-60	"2"	"COTL1"
"ARF1"	2.03780694295788e-64	0.404192532182773	0.788	0.62	9.18398833052257e-60	"2"	"ARF1"
"ARPC5"	2.37727789675116e-64	0.560785722447616	0.599	0.41	1.07139160250781e-59	"2"	"ARPC5"
"NDUFA1"	2.68795990895036e-64	0.402798284841512	0.785	0.617	1.21140977176575e-59	"2"	"NDUFA1"
"CD53"	8.50302007596552e-64	0.477681267923668	0.656	0.462	3.83214108783614e-59	"2"	"CD53"
"ASNA1"	9.95423534909017e-64	0.69651242008807	0.304	0.134	4.48617478712796e-59	"2"	"ASNA1"
"CCR4"	1.40351845301835e-63	0.774783759199078	0.181	0.057	6.32537696406311e-59	"2"	"CCR4"
"SUMO1"	1.75170586511552e-63	0.489268855892804	0.608	0.394	7.89458799290261e-59	"2"	"SUMO1"
"RHOC"	4.74023769547029e-63	0.846990510607028	0.241	0.095	2.13633032459455e-58	"2"	"RHOC"
"COPE"	4.80130764257815e-63	0.516382447852166	0.608	0.415	2.16385332835712e-58	"2"	"COPE"
"F5"	7.34815528930733e-63	0.852903675429475	0.119	0.027	3.31166662578503e-58	"2"	"F5"
"COX17"	1.00335358331816e-62	0.658778057558655	0.452	0.255	4.5219139292983e-58	"2"	"COX17"
