"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
1.72814214078578e-219	2.82899516545553	0.822	0.147	7.78839100009334e-215	"FOS"	0.675
6.66343207364115e-186	1.83586807236426	0.901	0.388	3.00307556694859e-181	"DUSP1"	0.513
1.73061661154763e-176	1.59492981094405	0.914	0.572	7.79954294492286e-172	"JUNB"	0.342
9.15497773955789e-176	1.58113504735395	0.715	0.11	4.12596536766395e-171	"NR4A2"	0.605
1.41349257130422e-169	1.84520113180363	0.875	0.428	6.37032832035385e-165	"JUN"	0.447
1.53790322356633e-160	1.39684336120929	0.945	0.664	6.93102224796872e-156	"ZFP36"	0.281
2.69354155376644e-158	2.84508596243184	0.576	0.013	1.21392530745146e-153	"HSPA1B"	0.563
7.70938223022886e-156	0.782129048951577	0.993	0.915	3.47446438351954e-151	"SRGN"	0.078
4.40656454415154e-153	1.50505325173174	0.601	0.039	1.98595050875821e-148	"FOSB"	0.562
5.3447510786341e-153	2.10373647946602	0.611	0.052	2.40877241611881e-148	"RGS1"	0.559
1.177826170696e-148	2.28972771230326	0.818	0.383	5.30822698609275e-144	"DNAJB1"	0.435
5.76455664183645e-139	1.47825943005132	0.959	0.792	2.59797038734285e-134	"HSP90AA1"	0.167
6.76440689419128e-139	1.33999084856888	0.688	0.162	3.04858289907412e-134	"BTG2"	0.526
9.36631122790247e-133	1.19085682007202	0.895	0.672	4.22120914419108e-128	"CXCR4"	0.223
7.19550845585489e-128	1.16905006309149	0.833	0.415	3.24287175088468e-123	"TNFAIP3"	0.418
3.02285700491417e-127	1.34777967214608	0.888	0.625	1.36234119497472e-122	"CD69"	0.263
7.08218769864101e-127	0.95026383208563	0.959	0.83	3.19180035202353e-122	"HSPA8"	0.129
4.79704101950746e-125	1.337612859033	0.821	0.432	2.16193044667162e-120	"DUSP2"	0.389
3.44039610702164e-123	2.05060437333783	0.877	0.598	1.55051771751251e-118	"CCL4"	0.279
1.58941088627787e-118	3.42964934748261	0.549	0.086	7.16315698227712e-114	"HSPA1A"	0.463
2.39338316441035e-117	1.47163235489786	0.462	0.012	1.07864992453645e-112	"DUSP4"	0.45
7.16608002196273e-116	0.93093486665822	0.893	0.613	3.22960894429816e-111	"SRSF7"	0.28
1.08590996265419e-114	1.30491085793574	0.705	0.244	4.89397901968992e-110	"DNAJA1"	0.461
1.19140503748376e-107	0.745603901412278	0.986	0.926	5.36942422293182e-103	"BTG1"	0.0599999999999999
2.02403102925215e-107	1.24574495828361	0.516	0.068	9.1219030426336e-103	"RGS2"	0.448
3.85405729046996e-107	1.26673133942341	0.418	0.003	1.736946539669e-102	"NR4A1"	0.415
6.79924315520367e-107	-0.312803987973418	0.999	0.999	3.06428290518719e-102	"RPS27A"	0
8.93388419464439e-103	-0.41581972224313	0.999	1	4.02632292884233e-98	"RPL3"	-0.001
4.1830349497206e-102	1.08588114695236	0.731	0.315	1.88521019114008e-97	"PPP1R15A"	0.416
1.88729325666143e-100	-0.347601028960433	0.997	1	8.50565324912172e-96	"RPS14"	-0.003
1.53013792948426e-99	-0.551174295794194	0.995	1	6.89602562059965e-95	"MT-CYB"	-0.005
2.56680680684796e-98	-0.293722349160032	1	1	1.15680849171024e-93	"EEF1A1"	0
3.64206235017144e-96	0.988907488508751	0.757	0.355	1.64140465997526e-91	"TUBA4A"	0.402
5.35487186778941e-96	1.47578471396196	0.749	0.38	2.41333365337533e-91	"HSPE1"	0.369
1.02644426027572e-93	-0.344099132231598	0.997	0.999	4.62597899221063e-89	"RPL34"	-0.002
3.89171966346639e-93	-0.325930162252464	0.998	1	1.75392021793103e-88	"RPL32"	-0.002
1.32673794959228e-92	-0.473919457229651	0.997	1	5.9793425912225e-88	"MT-CO3"	-0.003
1.33037567297777e-91	-0.305660768753336	0.998	0.998	5.99573708297622e-87	"RPS3"	0
3.70573401458798e-91	0.897310984298401	0.691	0.28	1.67010020569451e-86	"MCL1"	0.411
3.53665206283607e-89	2.05811734150718	0.505	0.118	1.59389835167896e-84	"GZMK"	0.387
1.05363598925307e-88	-0.314137033016907	0.997	1	4.74852667636575e-84	"RPS23"	-0.003
4.66524940737482e-88	-0.335716266474103	0.997	0.999	2.10253460291569e-83	"RPS12"	-0.002
6.94622445975069e-88	1.0569099624512	0.471	0.077	3.13052443952044e-83	"ZNF331"	0.394
2.30781728323752e-87	-0.348366971866957	0.996	0.998	1.04008709320949e-82	"RPL37"	-0.002
8.32032089563484e-87	-0.368257957050174	0.999	1	3.74980222124471e-82	"MT-CO2"	-0.001
1.96956570887165e-85	-0.290027558391143	0.999	0.997	8.87643873674273e-81	"RPL19"	0.002
1.98360622281033e-85	-0.297698195265195	0.997	1	8.93971652496161e-81	"RPL30"	-0.003
1.41060080882215e-84	-0.333823563969474	0.998	1	6.35729572519968e-80	"RPS6"	-0.002
2.39992002041786e-84	1.26481951372439	0.436	0.063	1.08159595480192e-79	"RGCC"	0.373
4.16100242003184e-84	-0.30373623080041	0.997	0.999	1.87528057065995e-79	"RPS3A"	-0.002
6.22315035544943e-84	1.02123440729188	0.883	0.674	2.80464940219395e-79	"KLF6"	0.209
2.06407494134999e-82	1.05487790959451	0.439	0.065	9.30237294567614e-78	"HSPH1"	0.374
2.08913294613043e-82	1.15913686905132	0.493	0.105	9.41530436162063e-78	"RHOB"	0.388
7.08933587440265e-82	-0.561498170738171	0.81	0.979	3.19502189187579e-77	"IFITM1"	-0.169
1.0988225816116e-80	1.4432537366001	0.377	0.031	4.95217361080715e-76	"CD27"	0.346
1.5855580196682e-79	0.976313023544647	0.79	0.483	7.14579288304063e-75	"IER2"	0.307
4.8825288411042e-79	0.938983153890597	0.473	0.098	2.20045809810884e-74	"CREM"	0.375
2.10723574011177e-77	-0.432700059554012	0.998	1	9.49689003353572e-73	"MT-ATP6"	-0.002
2.80189377526568e-77	-0.307182014343703	0.997	0.998	1.26275748663674e-72	"RPL6"	-0.001
5.13651024841786e-76	0.838938713674431	0.628	0.243	2.31492243875696e-71	"SH2D2A"	0.385
7.55914922010457e-76	1.32870491123449	0.465	0.104	3.40675737051673e-71	"IFNG"	0.361
2.64585797012233e-75	-0.306011271278094	0.997	0.999	1.19243526997473e-70	"RPL29"	-0.002
9.41956120471897e-75	-0.286035609462804	1	1	4.24520784374275e-70	"RPL11"	0
