"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
8.86806969598927e-37	1.92579320919522	0.892	0.185	3.99666165058845e-32	"RGS1"	0.707
3.86720316704329e-31	2.47265110144577	0.914	0.352	1.74287112332307e-26	"FOS"	0.562
4.62918552221238e-30	1.43588820408911	0.961	0.657	2.08628133115067e-25	"CXCR4"	0.304
7.60280283651887e-30	1.65262539549124	0.802	0.213	3.42643118236233e-25	"DUSP4"	0.589
6.76970467103644e-27	2.41917896845805	0.724	0.093	3.0509705011427e-22	"GZMK"	0.631
5.01470674936828e-26	1.34706317199909	0.918	0.435	2.2600280378053e-21	"DUSP2"	0.483
5.62942774823542e-25	1.23217897812535	0.849	0.389	2.53707049757474e-20	"CD2"	0.46
7.06438610493213e-25	1.31985407851141	0.724	0.093	3.18377752977081e-20	"FOSB"	0.631
2.5203731399879e-24	1.12982834222682	0.784	0.194	1.13588176672975e-19	"NR4A2"	0.59
3.19774444419528e-23	2.21411275415815	0.616	0.028	1.44115946610993e-18	"HSPA1B"	0.588
3.57547837737335e-23	-0.466232764326759	1	1	1.61139659511462e-18	"MT-CO2"	0
8.2484529955679e-23	1.54164804616398	0.931	0.5	3.71741279604254e-18	"DUSP1"	0.431
5.53521620206707e-22	1.31092301437738	0.927	0.713	2.49461123794759e-17	"JUNB"	0.214
7.53276689439903e-22	1.11676385151234	0.918	0.5	3.39486738396776e-17	"TNFAIP3"	0.418
1.0436321754758e-21	0.925928403132857	0.892	0.593	4.70344148843435e-17	"DYNLL1"	0.299
3.55481178428665e-21	1.0399586046557	0.595	0.037	1.60208257494231e-16	"TNFRSF9"	0.558
4.0442240403533e-21	1.496617585919	0.875	0.574	1.82265089050642e-16	"HLA-DRB1"	0.301
4.09516245252847e-21	1.3661572834074	0.595	0.046	1.84560781410553e-16	"LAG3"	0.549
5.20888971748937e-21	0.796365366419023	0.75	0.204	2.34754241787811e-16	"CXCR3"	0.546
5.75940897997792e-21	1.18308398267217	0.94	0.694	2.59565043909645e-16	"KLF6"	0.246
5.98262757215977e-21	2.52583787795698	0.655	0.13	2.69625059422096e-16	"HSPA1A"	0.525
6.27740894636089e-21	1.0639160340017	0.608	0.046	2.82910266394593e-16	"NR4A1"	0.562
5.45584998035361e-20	1.4381098721157	0.815	0.5	2.45884246914576e-15	"HLA-DRB5"	0.315
8.83284240913345e-20	1.03737973322855	0.961	0.87	3.98078541694826e-15	"MT2A"	0.091
1.01970925052513e-19	1.11844495376278	0.651	0.157	4.59562565026666e-15	"MIR155HG"	0.494
2.58707130738991e-19	1.38986334781478	0.629	0.102	1.16594129681449e-14	"IFNG"	0.527
6.17974183493703e-19	0.942607578212611	0.509	0	2.78508605016942e-14	"VCAM1"	0.509
7.00811969824378e-19	0.769545570651846	0.547	0.037	3.15841938560451e-14	"PHLDA1"	0.51
8.05401131128816e-19	0.67360670982242	0.845	0.491	3.62978181777135e-14	"UBE2T"	0.354
8.64611814185555e-19	-0.504706081855685	0.06	0.463	3.89663252417146e-14	"KLF3"	-0.403
1.08402944717741e-18	0.583255575137185	1	0.981	4.88550391253916e-14	"SRGN"	0.019
1.12281812069462e-18	-0.816696291995564	0.716	0.907	5.0603167063465e-14	"AES"	-0.191
1.29050779563811e-18	1.86771636802909	0.522	0.019	5.81606053338182e-14	"FXYD2"	0.503
