""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"SLC9A73"	4.19520838215581e-65	1.42671336999343	0.414	0.065	1.64221432119489e-60	"16"	"SLC9A7"
"BCAS41"	4.48080862680764e-65	1.10625026991483	0.179	0.012	1.75401253696385e-60	"16"	"BCAS4"
"CYFIP25"	4.99308688423734e-64	1.39006871502036	0.614	0.136	1.95454386083471e-59	"16"	"CYFIP2"
"OGT4"	5.09532468216037e-64	1.42049473702107	0.8	0.252	1.99456484683168e-59	"16"	"OGT"
"WDFY42"	5.96065514077562e-64	1.52015445393834	0.566	0.119	2.33329845485662e-59	"16"	"WDFY4"
"VIMP1"	1.7404329666863e-63	1.6552692634415	0.828	0.324	6.81292484809354e-59	"16"	"VIMP"
"LILRB43"	2.63922480947575e-63	1.4831675014979	0.855	0.318	1.03312455166928e-58	"16"	"LILRB4"
"RPS3A3"	9.18730563267557e-63	0.683141411340493	1	0.974	3.59637078991085e-58	"16"	"RPS3A"
"PARK71"	9.83551446288906e-63	1.14696936181452	0.979	0.683	3.85011213649792e-58	"16"	"PARK7"
"RPS121"	1.0060083852259e-62	0.630248782549578	1	0.975	3.93801982396679e-58	"16"	"RPS12"
"GPX72"	4.06790328367142e-62	1.41328397770507	0.317	0.04	1.59238074039318e-57	"16"	"GPX7"
"LINC01215"	4.51048671413324e-62	1.23975128157513	0.145	0.008	1.76563002424746e-57	"16"	"LINC01215"
"SMC61"	5.11274984510245e-62	1.69235713843527	0.469	0.086	2.00138592686535e-57	"16"	"SMC6"
"SEPT63"	8.15704804249407e-62	1.39066249476233	0.848	0.335	3.1930764562343e-57	"16"	"SEPT6"
"TXN3"	1.75286825207225e-61	1.25033573455658	1	0.681	6.86160277273683e-57	"16"	"TXN"
"ADA5"	3.9984208240715e-61	1.43684665675971	0.545	0.116	1.56518183158279e-56	"16"	"ADA"
"MCOLN23"	1.1940195519549e-60	1.38104447884848	0.345	0.048	4.67398953612745e-56	"16"	"MCOLN2"
"HINT14"	2.43484328101658e-60	0.983403730337978	1	0.807	9.53119402353942e-56	"16"	"HINT1"
"RPS233"	9.24461015868342e-60	0.626397507769962	1	0.974	3.61880264661662e-55	"16"	"RPS23"
"P3H23"	1.5144913606747e-59	1.48079939825182	0.345	0.049	5.92847643136111e-55	"16"	"P3H2"
"GAPT2"	3.13147816003789e-59	1.47199149734812	0.779	0.255	1.22581712574683e-54	"16"	"GAPT"
"ST3GAL21"	1.15023271535564e-58	1.45982739827694	0.393	0.062	4.50258596425965e-54	"16"	"ST3GAL2"
"DUSP52"	1.22541653101547e-58	1.57714084975854	0.566	0.126	4.79689301066004e-54	"16"	"DUSP5"
"FZD31"	7.72816535763695e-58	1.07153877680041	0.166	0.011	3.02519032924698e-53	"16"	"FZD3"
"STAMBPL11"	1.02321853493977e-57	1.38372876606655	0.241	0.025	4.00538895502173e-53	"16"	"STAMBPL1"
"RPS27A1"	1.31614203323826e-57	0.584875312422493	1	0.973	5.15203798911117e-53	"16"	"RPS27A"
"RPS54"	1.37049628325001e-57	0.743203761123139	1	0.922	5.36480770078218e-53	"16"	"RPS5"
"CD79A1"	3.8177407861524e-56	0.479733200347032	0.297	0.035	1.49445463073936e-51	"16"	"CD79A"
"CXXC52"	5.98792280755307e-56	1.45758957369089	0.586	0.144	2.34397238301665e-51	"16"	"CXXC5"
"NME43"	6.06198574645601e-56	1.51475243338939	0.538	0.125	2.37296432045021e-51	"16"	"NME4"
"MIF4GD4"	3.05310944753679e-55	1.46352012431512	0.759	0.266	1.19513969323828e-50	"16"	"MIF4GD"
"OPN31"	3.09699407121294e-55	1.70245603498407	0.531	0.123	1.21231832917631e-50	"16"	"OPN3"
"SVIP2"	3.42040633737935e-55	1.30677946939845	0.448	0.085	1.33891806076715e-50	"16"	"SVIP"
"C9orf142"	4.86927924583276e-55	1.61319948543009	0.821	0.389	1.90607936078124e-50	"16"	"C9orf142"
"SRP14"	5.43453219880465e-55	0.80490141956512	1	0.862	2.12734762922208e-50	"16"	"SRP14"
"RPSA3"	7.68200006048162e-55	0.814174229870843	1	0.903	3.00711892367553e-50	"16"	"RPSA"
"ZNF7891"	7.97962892998391e-55	1.29607380978381	0.276	0.034	3.1236257446422e-50	"16"	"ZNF789"
"ERP293"	1.01067877319694e-54	1.09424504325158	0.979	0.736	3.95630205767944e-50	"16"	"ERP29"
"TBC1D41"	1.08555887603857e-54	1.55120280576864	0.345	0.052	4.24942022025297e-50	"16"	"TBC1D4"
"LINC00865"	1.90697684664326e-54	1.08826608035471	0.124	0.007	7.46486086618502e-50	"16"	"LINC00865"
"TAGLN23"	3.79337802215234e-54	1.17254553731674	0.966	0.747	1.48491782677153e-49	"16"	"TAGLN2"
"MDFIC"	7.73305835515186e-54	1.50894425352163	0.517	0.117	3.02710569312419e-49	"16"	"MDFIC"
"RPS102"	1.90271789287637e-53	0.671131540704468	0.986	0.94	7.44818919166454e-49	"16"	"RPS10"
"SLC44A22"	8.34121138558362e-53	1.28055382321202	0.572	0.137	3.26516719688671e-48	"16"	"SLC44A2"
"PHB4"	9.64183653313749e-53	1.43810554499349	0.814	0.345	3.77429691089667e-48	"16"	"PHB"
"CD3202"	1.63608498779148e-52	1.2599480719909	0.276	0.035	6.40445468470974e-48	"16"	"CD320"
"DCK4"	3.71038332662489e-52	1.44487792475745	0.655	0.204	1.45242955320731e-47	"16"	"DCK"
