"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"	"Difference"
3.02516838866769e-284	-0.800186948902241	1	1	1.36338288940475e-279	"RPL32"	0
8.67876902623205e-282	-0.810589051572509	1	1	3.91134762474226e-277	"RPS3A"	0
4.11952779222725e-275	-0.823171506339962	0.999	1	1.85658878540097e-270	"RPS13"	-0.001
1.32523456354009e-274	-0.682412705615673	1	1	5.97256713096248e-270	"RPS12"	0
1.05016780664746e-273	-0.666409377017664	1	1	4.73289627099879e-269	"RPL34"	0
1.54870020424229e-271	-0.643845227718935	1	1	6.97968208047917e-267	"RPL13"	0
1.16454079444532e-270	-0.579608814913932	1	1	5.24835245240619e-266	"RPL30"	0
9.44093978021277e-269	-0.58260015115142	1	1	4.25484274014629e-264	"EEF1A1"	0
3.78461622916752e-267	-0.65208673863275	1	1	1.70565084216122e-262	"RPL11"	0
7.94664583221054e-263	-0.778294606060002	1	1	3.58139434366065e-258	"RPS8"	0
1.36301996395639e-259	1.67977345890349	0.994	0.734	6.14285837355865e-255	"SRGN"	0.26
1.23849929846809e-258	-0.642963795551731	1	1	5.58166863833598e-254	"RPS23"	0
8.78094836010891e-258	-0.594105347536467	1	1	3.95739780693388e-253	"RPL19"	0
5.72744984770427e-254	-0.697630589226556	1	1	2.58124709736336e-249	"RPS6"	0
2.1676138168443e-252	2.2760625862961	0.897	0.207	9.7690019497539e-248	"DUSP2"	0.69
7.00043429813537e-252	-0.605767365145609	1	1	3.15495572948365e-247	"RPS14"	0
9.14168526319167e-252	-0.609674683044828	1	1	4.11997471441522e-247	"RPL18A"	0
1.06837051663672e-248	-0.515492679484042	1	1	4.81493224437839e-244	"RPS27A"	0
1.31174032896029e-245	-0.719198716099061	0.999	1	5.91175131455824e-241	"RPL3"	-0.001
2.14782262262192e-243	-0.614548311078638	1	1	9.67980699563248e-239	"RPL37"	0
2.41833162665408e-243	-0.783633865445583	0.984	1	1.08989369750046e-238	"RPL22"	-0.016
3.1439251305782e-243	-0.640373652369957	1	1	1.41690417784898e-238	"RPL18"	0
7.23677821689653e-243	2.57199744714785	0.797	0.076	3.26147120679093e-238	"CCL5"	0.721
5.93183734398098e-242	-0.62372068760393	1	1	2.67336045418535e-237	"RPL29"	0
7.54764849341338e-242	-0.501672499859501	1	1	3.40157422301154e-237	"RPS15A"	0
8.56645748088969e-242	-0.637308598860319	1	1	3.86073105748737e-237	"RPS18"	0
9.95266397818534e-242	-0.571419761484074	1	1	4.48546660168857e-237	"RPL39"	0
1.85659440529424e-239	-0.562683662171549	1	0.999	8.36729966578008e-235	"RPL10"	0.001
3.79373658218013e-239	-0.577225115651799	1	1	1.70976120285694e-234	"RPL35A"	0
4.83997846463697e-239	-0.742866572923239	0.997	1	2.18128149444259e-234	"RPS5"	-0.003
2.9901514878672e-238	-0.720842892611294	1	1	1.34760147255199e-233	"RPL9"	0
3.26779000815235e-238	-0.729623439740108	0.999	1	1.4727276008741e-233	"RPL5"	-0.001
4.07297867603356e-236	2.56511057661312	0.793	0.098	1.83561002971481e-231	"RGS1"	0.695
8.05356188228556e-231	2.03694184941029	0.767	0.079	3.62957926910846e-226	"CST7"	0.688
8.8195335877491e-229	-0.511363079383217	1	1	3.97478739732676e-224	"RPS28"	0
2.84606714987499e-226	3.43396901026484	0.674	0.02	1.28266554310566e-221	"HSPA1B"	0.654
3.38679824942494e-226	-0.611217788562253	1	1	1.52636223505083e-221	"RPL14"	0
1.07261753742803e-224	-0.522930409321024	1	1	4.83407271768064e-220	"RPS25"	0
1.49621733253392e-224	-0.496264821616206	1	1	6.74315227426387e-220	"RPS3"	0
1.89189523530544e-224	-0.568962785275669	1	1	8.52639344647457e-220	"RPS4X"	0
8.26341981806416e-217	2.03601795389116	0.969	0.791	3.72415804360515e-212	"ZFP36"	0.178
2.15943332120755e-210	1.55553051090571	0.994	0.887	9.73213409201817e-206	"JUNB"	0.107
7.00500150513573e-210	-0.587369502915308	1	1	3.15701407833457e-205	"RPL36"	0
5.18692014522839e-209	0.478579410314261	1	1	2.33764117105153e-204	"B2M"	0
3.22743501308976e-206	-0.765974711722845	0.983	1	1.45454041169929e-201	"EEF1B2"	-0.017
6.41528334866746e-206	-0.661686359852954	1	1	2.89123989957745e-201	"RPS10"	0
1.06546008399276e-205	1.9200407031304	0.646	0.026	4.80181550653858e-201	"GZMA"	0.62
1.53734937162789e-205	1.93623775260174	0.811	0.189	6.92852614805256e-201	"FOSB"	0.622
8.5139108195458e-205	-0.496567151197622	1	1	3.8370493281529e-200	"RPS15"	0
3.1394533941777e-200	-0.843146077835301	0.926	0.998	1.414888855688e-195	"EEF1G"	-0.072
2.9669388811553e-198	1.73615055407571	0.617	0.021	1.33714001495907e-193	"DUSP4"	0.596
5.9031114941257e-196	1.86804057661785	0.647	0.044	2.66041428817257e-191	"HLA-DRB1"	0.603
8.98890660888273e-191	0.715168773181115	1	0.998	4.05112043049127e-186	"HLA-A"	0.002
8.01884276159955e-184	3.92980266942764	0.596	0.032	3.61393205579768e-179	"HSPA1A"	0.564
1.88898111672207e-182	1.80546803916207	0.559	0.01	8.51326009684303e-178	"NR4A1"	0.549
1.88900052595967e-180	-0.715250050716906	0.973	1	8.51334757039502e-176	"RPL4"	-0.027
4.4258889816706e-179	1.85344294503889	0.956	0.666	1.99465964625931e-174	"CD74"	0.29
2.70834493672848e-178	-0.549023036242425	1	1	1.22059689608479e-173	"RPL8"	0
1.02429054135039e-177	-0.472318251840453	1	1	4.61627261175794e-173	"RPLP2"	0
1.37573554329695e-176	-0.550078074612177	1	1	6.20016494653071e-172	"RPL10A"	0
1.49538614186795e-175	1.56341973027341	0.733	0.151	6.73940626417047e-171	"NR4A2"	0.582
5.72011705181016e-175	-0.469771274906751	1	1	2.5779423529098e-170	"TPT1"	0
1.01034269858508e-174	1.93514414779721	0.969	0.841	4.55341247398323e-170	"HSP90AA1"	0.128
4.51817046472787e-171	-0.5675041243972	0.996	1	2.03624906504356e-166	"RPSA"	-0.004
