""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"BPTF"	0.00162439768148316	0.421211477243187	0.225	0.397	1	"13"	"BPTF"
"BOD1L1"	0.00162888689772845	0.478626084510368	0.175	0.315	1	"13"	"BOD1L1"
"NARF"	0.00164743060623969	0.279873655379402	0.138	0.254	1	"13"	"NARF"
"ERAP2"	0.001650942087461	0.595446327100689	0.153	0.279	1	"13"	"ERAP2"
"EHD11"	0.00168641087228389	0.389628493287111	0.062	0.135	1	"13"	"EHD1"
"PIK3CD"	0.00168727569017116	0.307110145077347	0.08	0.164	1	"13"	"PIK3CD"
"GMDS"	0.00168871381172082	0.295289402501115	0.076	0.159	1	"13"	"GMDS"
"SRRM2"	0.00169077431642956	0.625093853964976	0.545	0.69	1	"13"	"SRRM2"
"DDX42"	0.00169200637476334	0.332682031024921	0.102	0.198	1	"13"	"DDX42"
"WDR45B"	0.00172458925580494	0.489383158506831	0.233	0.411	1	"13"	"WDR45B"
"IRF2BPL"	0.00173049881311484	0.546213855569907	0.051	0.119	1	"13"	"IRF2BPL"
"REV3L1"	0.00174966398734898	0.319918735497418	0.131	0.242	1	"13"	"REV3L"
"PCID2"	0.00175250823445363	0.299462594841476	0.058	0.13	1	"13"	"PCID2"
"LIMA1"	0.00178373171033337	0.501410256399349	0.044	0.108	1	"13"	"LIMA1"
"SCO1"	0.00178527252536876	0.297428018707411	0.058	0.131	1	"13"	"SCO1"
"HAMP1"	0.0018045353552475	0.312913231217065	0.044	0.106	1	"13"	"HAMP"
"RQCD1"	0.00180503824308397	0.27993080870068	0.08	0.164	1	"13"	"RQCD1"
"CNTLN"	0.00181056749479764	0.470103300001359	0.091	0.181	1	"13"	"CNTLN"
"PIAS2"	0.00181146368128134	0.293592636329987	0.08	0.163	1	"13"	"PIAS2"
"UBB"	0.00182199842010437	0.337895580709615	0.596	0.937	1	"13"	"UBB"
"CHN2"	0.00183686387533985	0.303890317935792	0.182	0.323	1	"13"	"CHN2"
"HDAC10"	0.00184751284389938	0.287559935567592	0.102	0.196	1	"13"	"HDAC10"
"C14orf159"	0.00186557305810941	0.27702833370089	0.142	0.258	1	"13"	"C14orf159"
"DTWD1"	0.00187029941120256	0.289436432637739	0.105	0.202	1	"13"	"DTWD1"
"ATRX"	0.00187651488624407	0.403274713732081	0.32	0.565	1	"13"	"ATRX"
"APOL6"	0.00187890267516466	0.411791626957881	0.145	0.264	1	"13"	"APOL6"
"FLAD1"	0.00190334103178633	0.426488792358574	0.095	0.186	1	"13"	"FLAD1"
"DHX38"	0.00190411666352461	0.357846140126276	0.062	0.135	1	"13"	"DHX38"
"NLRP31"	0.0019226672731542	0.569858779187035	0.305	0.498	1	"13"	"NLRP3"
