"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0.000164152219284276	0.0385774885220473	0.055	0.143	1	"13"	"UNC45A"
0.000166225847396153	0.234461999874924	0.055	0.143	1	"13"	"LAS1L"
0.000168834106374884	0.448825244664039	0.207	0.396	1	"13"	"PDCD4"
0.000170928180762529	0.28102027195112	0.058	0.149	1	"13"	"USP38"
0.000171390922639117	0.195268632328724	0.458	0.762	1	"13"	"LIMS1"
0.000171785084133977	0.104503102321348	0.145	0.276	1	"13"	"VMO1"
0.000171816968048428	0.0469155705236104	0.062	0.154	1	"13"	"THUMPD3"
0.000174704418852457	0.0176597492232917	0.062	0.153	1	"13"	"NCLN"
0.000175143434826493	0.191721231079023	0.371	0.66	1	"13"	"MYO1F"
0.000175361877847431	0.238397038081476	0.073	0.171	1	"13"	"TRAPPC6B"
0.000176846266384896	0.064089168241436	0.04	0.119	1	"13"	"RRM1"
0.000177025464472038	0.109642910239972	0.055	0.143	1	"13"	"GTF3C5"
0.000177481057463002	0.253230411509156	0.127	0.26	1	"13"	"TMUB2"
0.000177904663739442	0.306027614859858	0.178	0.341	1	"13"	"JMJD6"
0.000181300167452216	0.347536453237801	0.233	0.439	1	"13"	"SRSF4"
0.000182828504769258	0.235465380432028	0.131	0.264	1	"13"	"JPX"
0.000182913074135141	0.989861724014981	0.025	0.006	1	"13"	"YES1"
0.000183041202863057	0.257186566981941	0.073	0.172	1	"13"	"PGS1"
0.000183072573006102	0.358483639919251	0.076	0.178	1	"13"	"KLHDC2"
0.000183376985586777	1.33027759382996	0.022	0.004	1	"13"	"TINAGL1"
0.000183376985586777	0.941347342480016	0.022	0.004	1	"13"	"TM4SF18"
0.000183494767888105	0.0259863441118513	0.04	0.119	1	"13"	"MTF1"
0.000183656397477911	0.232598773273549	0.142	0.279	1	"13"	"BAZ2A"
0.00018392543538935	0.0912364288799017	0.062	0.154	1	"13"	"MLH1"
0.00018462217523687	0.0212267100693022	0.058	0.148	1	"13"	"IL12RB1"
0.000184911264754163	0.0942222135940742	0.062	0.154	1	"13"	"UBTF"
0.000184971222301515	0.177728020634559	0.105	0.222	1	"13"	"WBP1L"
0.000184972570576991	0.0722991055957951	0.105	0.219	1	"13"	"RXRA"
0.000187342190822831	0.0771956842241428	0.033	0.107	1	"13"	"CD99L2"
0.000188002691365384	1.09223884677775	0.418	0.447	1	"13"	"MIR181A1HG"
0.000190165485719784	0.606876450016419	0.142	0.283	1	"13"	"ARRDC2"
0.000192846008292094	0.2249656626712	0.036	0.113	1	"13"	"ZNF143"
0.000193297564515624	0.310959910507751	0.091	0.201	1	"13"	"SIDT2"
0.000193416646635124	0.090889243480071	0.04	0.119	1	"13"	"ITGB7"
0.000193971832665117	0.7204804154995	0.095	0.206	1	"13"	"BAIAP2"
0.000194631888293427	0.460542148189134	0.171	0.334	1	"13"	"PCMTD1"
0.000194772896376359	0.2386249614899	0.069	0.164	1	"13"	"DTNBP1"
0.00019498162688438	0.361899930230909	0.102	0.213	1	"13"	"ITGAL"
0.00019532082013984	0.17873517808162	0.051	0.136	1	"13"	"S100PBP"
0.000195675628319402	0.095130459813124	0.007	0.063	1	"13"	"RITA1"
0.000198304584635655	0.367849720397932	0.058	0.147	1	"13"	"IARS"
0.000199138247899492	0.265988272200682	0.244	0.461	1	"13"	"GGNBP2"
0.000199309348063056	0.197598259917807	0.044	0.125	1	"13"	"ACSS2"
0.000199444332127983	0.131670784068409	0.287	0.505	1	"13"	"TGIF1"
0.000199643136990492	0.334372034796306	0.058	0.148	1	"13"	"SRPK1"
0.000201064748964344	0.064198054853053	0.044	0.124	1	"13"	"PHTF1"
0.000202874273415149	0.159526691395439	0.124	0.25	1	"13"	"CWC25"
0.000204599215668632	0.167355665588377	0.069	0.165	1	"13"	"ING3"
0.000205490161147645	0.158468694025128	0.051	0.136	1	"13"	"SNX12"
0.000207967080341818	0.328068308212443	0.069	0.164	1	"13"	"SIRT7"
0.000211662872577612	0.468159919951538	0.284	0.504	1	"13"	"MXD1"
0.000211992626555475	0.880765400930753	0.044	0.014	1	"13"	"RP11-667K14.3"
0.000214190127909831	0.230688584546736	0.065	0.159	1	"13"	"CAMK2G"
0.000219600550326873	0.184174966284935	0.164	0.313	1	"13"	"RELT"
0.000219677708175655	1.15702824444997	0.331	0.306	1	"13"	"AP000769.1"
0.000225343188579403	0.0590704037394261	0.047	0.129	1	"13"	"DNAJC9"
0.000226155809039101	0.139138174386293	0.029	0.099	1	"13"	"ARMCX2"
0.000228252264703806	0.0147054701611558	0.433	0.643	1	"13"	"BCL2A1"
0.000228770546940812	0.168443935382733	0.065	0.157	1	"13"	"ALG8"
0.00022916270739148	0.287393895160676	0.211	0.397	1	"13"	"ST14"
0.000229381814649215	0.206714288992853	0.102	0.216	1	"13"	"FASTK"
0.000229451855698902	0.0208665005057409	0.069	0.163	1	"13"	"TNPO3"
0.000230662908919436	0.375363565572181	0.04	0.117	1	"13"	"CRYZ"
0.000231218485090576	0.236897435726773	0.385	0.701	1	"13"	"ELF1"
0.000237164673785869	0.0416837848929694	0.065	0.157	1	"13"	"CKAP2"
0.000237900108788605	0.0295250063088457	0.047	0.129	1	"13"	"ATE1"
0.000238649450678199	0.128524267604619	0.058	0.146	1	"13"	"RCHY1"
0.000240948212001744	0.0922051720200407	0.029	0.099	1	"13"	"YARS2"
0.000241408948456823	0.280839468640873	0.251	0.463	1	"13"	"PREX1"
0.000242005620169813	0.356898269718935	0.087	0.193	1	"13"	"HMGXB4"
0.000243026791032992	0.286653248416415	0.127	0.253	1	"13"	"SLC6A6"
0.000243342115915522	0.416198661166436	0.025	0.093	1	"13"	"LINC00467"
0.000243606135255903	0.301896156769836	0.145	0.286	1	"13"	"KCNMB1"
0.000247932031219156	0.153907419393672	0.076	0.175	1	"13"	"SAMD9"
0.00024797573382064	0.218124744782022	0.069	0.163	1	"13"	"DMAP1"
0.000249199678448574	0.107490479032099	0.036	0.111	1	"13"	"RNF170"
0.000250391084005241	0.309893815848141	0.091	0.199	1	"13"	"CTAGE5"
0.0002522950300884	0.178327782986679	0.062	0.151	1	"13"	"HACD2"
0.000253814423081817	0.189348742686066	0.073	0.17	1	"13"	"DDX19B"
0.000256718664226113	0.0858189362909998	0.036	0.11	1	"13"	"TUBG1"
0.000256730970973471	0.312297369393149	0.095	0.205	1	"13"	"DUS3L"
0.000258805460003363	0.0282400424056934	0.051	0.134	1	"13"	"MCCC1"
0.000264397284559712	0.190182343646565	0.116	0.237	1	"13"	"ZSWIM6"
0.000265510680287265	0.251015661237437	0.055	0.14	1	"13"	"GLT8D1"
0.000268688734531226	0.981116910698974	0.429	0.474	1	"13"	"ANKRD44"
0.000269357239848756	0.0832227474859718	0.084	0.183	1	"13"	"ANKRD22"
0.000269726669385574	0.00923396101769547	0.033	0.104	1	"13"	"OPA3"
0.000271304388840183	0.215900963974221	0.065	0.157	1	"13"	"AARSD1"
0.000272556848880058	0.0310174197516442	0.029	0.098	1	"13"	"KRBOX4"
0.000273029383821787	0.202794700842525	0.127	0.254	1	"13"	"TXNRD1"
0.000273616221514828	0.0289751065262638	0.076	0.173	1	"13"	"CNPY2"
0.000275015558851752	2.05435498335959	0.033	0.009	1	"13"	"PLPP3"
0.000277107738410735	0.0680668944006373	0.033	0.104	1	"13"	"TRIT1"
0.000280020925666032	0.14585700205401	0.065	0.156	1	"13"	"USP12"
0.000281904200807465	0.0729197969251985	0.047	0.128	1	"13"	"NOL10"
0.000283928486282104	0.535851770368144	0.08	0.18	1	"13"	"UIMC1"
0.000284448097842089	0.210940854475977	0.095	0.202	1	"13"	"NOTCH2NL"
0.000284633146547502	0.275188165156043	0.025	0.092	1	"13"	"MORN2"
0.000288844559996116	0.165166513693194	0.051	0.133	1	"13"	"C17orf49"
0.000289314111190457	1.07796142861007	0.087	0.043	1	"13"	"TMEM88"
0.000290369704438348	0.191208191443713	0.12	0.243	1	"13"	"RRN3"
0.00029220540330888	0.192580742538726	0.036	0.11	1	"13"	"AGK"
0.000292915715989971	0.195180215323948	0.12	0.238	1	"13"	"ISG20"
0.00029489083104531	0.220705207830814	0.127	0.255	1	"13"	"RAP1GDS1"
0.000297946567469471	0.13666011677275	0.065	0.156	1	"13"	"DNAJC17"
0.00029846136564951	0.212164099802447	0.095	0.201	1	"13"	"IFI44"
0.000299468078804241	0.616336636184685	0.131	0.257	1	"13"	"RUNX3"
0.000299634035958555	0.0320764540792677	0.062	0.149	1	"13"	"CTCF"
0.000302996336070847	0.000299687095442369	0.058	0.144	1	"13"	"LATS2"
0.000303593756702478	0.204936883201353	0.051	0.133	1	"13"	"CERK"
0.000305670023770703	0.160990987126519	0.08	0.178	1	"13"	"MAEA"
0.000306254597540127	0.179921148829826	0.055	0.138	1	"13"	"DDX23"
0.000307347666478783	0.121807548303946	0.047	0.127	1	"13"	"GALNT11"
0.000307596965975496	0.512500296555899	0.018	0.003	1	"13"	"LAX1"
0.000308132595030732	0.0409448681316682	0.029	0.098	1	"13"	"NUP88"
0.000312545326307607	0.107201723866835	0.12	0.237	1	"13"	"EHBP1L1"
0.000315742257351238	0.0873424303222963	0.044	0.121	1	"13"	"ASH2L"
0.000317025151455206	0.950831260169857	0.36	0.337	1	"13"	"USP53"
0.000317130215013156	0.13371125448759	0.065	0.155	1	"13"	"LINC00869"
0.00031803908130877	0.107759586411686	0.033	0.103	1	"13"	"MFN1"
0.000318824473968013	0.482642222665807	0.218	0.406	1	"13"	"ARHGEF1"
0.00031938183615162	0.81950384090793	0.011	0.001	1	"13"	"CHRM3"
0.00031938183615162	0.645655775818833	0.011	0.001	1	"13"	"DTHD1"
0.00031938183615162	0.615485104702632	0.011	0.001	1	"13"	"MPDZ"
0.00031938183615162	0.588397639978481	0.011	0.001	1	"13"	"DAAM2"
